machineID,layer_height [mm],print_speed [mm/s],nozzle_temperature [°C],bed_temperature [°C],filament_diameter [mm],failure_type
2154,0.31,95.74,197.12,60.9,1.71,2
2155,0.47,80.53,202.66,69.61,1.64,0
2156,0.22,97.92,214.38,59.58,1.83,0
2157,0.12,81.35,216.36,59.01,1.71,2
2158,0.14,73.59,207.61,59.79,1.66,4
2159,0.48,51.42,207.22,63.19,1.74,1
2160,0.31,34.41,211.28,61.15,1.8,2
2161,0.21,47.89,174.89,55.42,1.72,3
2162,0.26,44.15,211.1,60.63,1.71,4
2163,0.19,82.06,201.26,60.96,1.75,5
2164,0.37,70.58,211.09,55.42,1.66,3
2165,0.15,54.86,208.07,53.14,1.78,4
2166,0.34,59.88,211.25,64.69,1.84,1
2167,0.4,54.3,204.98,66.01,1.72,4
2168,0.21,81.15,193.71,59.16,1.87,2
2169,0.49,63.7,203.0,64.23,1.73,4
2170,0.23,36.41,215.36,62.92,1.74,4
2171,0.5,55.45,197.85,58.47,1.81,5
2172,0.24,48.88,220.39,55.97,1.74,4
2173,0.28,90.66,200.65,64.89,1.8,5
2174,0.41,40.75,217.51,61.19,1.7,0
2175,0.38,80.84,207.43,64.73,1.72,4
2176,0.13,41.63,195.1,56.72,1.86,0
2177,0.22,74.39,213.02,62.76,1.8,0
2178,0.27,67.89,185.72,57.6,1.71,4
2179,0.25,76.09,200.79,56.84,1.74,5
2180,0.3,67.0,210.36,60.72,1.78,4
2181,0.15,86.11,192.95,65.57,1.74,5
2182,0.39,75.31,190.13,59.48,1.65,1
2183,0.19,70.19,206.74,58.52,1.75,1
2184,0.31,62.62,203.85,62.64,1.75,2
2185,0.38,58.54,199.11,61.83,1.72,1
2186,0.16,94.72,213.55,64.5,1.76,2
2187,0.36,48.24,218.34,57.38,1.77,4
2188,0.4,51.57,200.75,60.52,1.72,5
2189,0.17,92.28,204.79,57.02,1.78,4
2190,0.34,45.06,198.92,61.55,1.74,1
2191,0.32,37.73,204.32,55.57,1.73,4
2192,0.49,87.15,198.19,65.33,1.72,1
2193,0.43,83.13,204.53,65.82,1.74,4
2194,0.26,36.74,185.91,66.07,1.74,0
2195,0.37,68.54,188.89,60.87,1.81,3
2196,0.26,52.68,217.87,64.87,1.78,1
2197,0.19,39.75,195.45,58.51,1.81,5
2198,0.19,96.16,205.12,60.63,1.65,3
2199,0.18,66.7,212.69,52.53,1.75,3
2200,0.29,41.86,193.56,59.4,1.73,3
2201,0.3,34.26,206.54,62.22,1.83,0
2202,0.11,33.1,194.39,54.48,1.79,4
2203,0.11,85.11,193.83,64.69,1.85,3
2204,0.23,30.19,175.23,52.49,1.81,4
2205,0.27,38.55,193.66,61.74,1.76,1
2206,0.23,77.16,194.38,58.87,1.68,3
2207,0.12,80.2,198.86,57.92,1.76,4
2208,0.11,38.8,198.56,60.06,1.78,2
2209,0.26,58.51,195.8,56.98,1.86,0
2210,0.2,64.19,195.8,59.84,1.84,3
2211,0.24,70.72,190.87,62.68,1.7,4
2212,0.43,51.98,202.47,60.02,1.86,0
2213,0.1,48.01,201.47,55.56,1.72,3
2214,0.38,58.82,211.68,65.16,1.73,4
2215,0.4,50.65,217.48,62.19,1.77,5
2216,0.13,49.93,217.02,55.2,1.74,4
2217,0.32,43.35,199.0,52.53,1.77,0
2218,0.16,86.19,190.4,54.11,1.78,5
2219,0.18,91.46,211.49,66.52,1.71,1
2220,0.2,34.56,216.12,63.15,1.77,2
2221,0.32,83.64,195.72,59.27,1.79,5
2222,0.1,42.12,204.38,64.02,1.83,5
2223,0.27,96.99,202.48,59.47,1.75,3
2224,0.23,54.12,201.48,64.6,1.73,1
2225,0.39,36.52,199.26,53.87,1.66,1
2226,0.37,62.46,195.38,65.71,1.73,4
2227,0.41,62.2,198.11,56.99,1.69,4
2228,0.47,85.92,198.64,57.03,1.83,1
2229,0.3,41.27,194.0,68.05,1.75,4
2230,0.11,58.15,211.43,56.24,1.73,5
2231,0.47,70.85,202.67,56.66,1.77,0
2232,0.13,91.4,221.35,56.49,1.78,5
2233,0.47,85.02,187.27,51.29,1.77,3
2234,0.42,94.16,197.89,58.4,1.79,5
2235,0.18,93.8,205.05,68.16,1.8,1
2236,0.25,76.53,195.54,60.77,1.74,3
2237,0.33,70.14,199.45,65.99,1.73,0
2238,0.27,97.28,201.97,60.05,1.75,5
2239,0.41,68.98,197.69,63.9,1.76,2
2240,0.12,94.76,218.03,61.05,1.81,3
2241,0.32,76.43,180.94,66.29,1.75,4
2242,0.15,99.66,210.36,64.08,1.74,4
2243,0.27,43.42,202.63,62.56,1.71,0
2244,0.41,46.12,206.78,62.83,1.87,5
2245,0.43,37.66,212.37,58.57,1.7,2
2246,0.16,96.8,202.48,57.03,1.76,4
2247,0.38,81.28,200.59,72.31,1.78,2
2248,0.13,65.16,193.58,67.5,1.77,1
2249,0.44,74.72,198.55,58.13,1.64,4
2250,0.25,31.27,177.12,61.75,1.69,2
2251,0.18,88.98,210.83,55.9,1.69,5
2252,0.34,58.11,184.15,69.67,1.81,0
2253,0.11,53.24,202.27,57.44,1.71,2
2254,0.44,71.58,207.29,58.66,1.69,0
2255,0.47,32.6,196.63,64.67,1.69,4
2256,0.49,73.52,203.56,58.44,1.68,2
2257,0.25,70.29,214.78,58.9,1.84,1
2258,0.2,35.06,192.33,50.12,1.82,1
2259,0.47,78.53,204.76,56.17,1.81,0
2260,0.47,56.32,207.9,55.78,1.79,0
2261,0.47,87.26,199.09,61.56,1.77,1
2262,0.47,36.67,210.54,55.78,1.78,0
2263,0.36,32.17,184.44,64.21,1.66,0
2264,0.1,99.44,199.53,58.68,1.78,3
2265,0.4,95.26,207.99,56.79,1.77,3
2266,0.48,58.79,208.14,58.8,1.67,3
2267,0.18,92.66,173.19,61.13,1.73,5
2268,0.2,67.64,197.96,64.9,1.77,2
2269,0.21,43.0,183.53,59.75,1.78,0
2270,0.41,76.05,198.0,60.78,1.76,2
2271,0.34,32.01,209.15,54.4,1.77,3
2272,0.12,47.58,194.0,53.31,1.78,3
2273,0.31,47.84,193.82,59.65,1.67,1
2274,0.23,99.29,204.2,64.21,1.81,3
2275,0.41,62.37,175.89,59.4,1.84,1
2276,0.34,77.76,203.67,57.59,1.76,1
2277,0.24,77.43,203.2,59.55,1.78,2
2278,0.17,44.59,203.13,61.91,1.71,5
2279,0.13,81.8,198.91,60.75,1.74,0
2280,0.39,84.64,184.14,49.45,1.64,3
2281,0.35,94.36,191.88,55.23,1.68,0
2282,0.22,80.83,200.13,54.14,1.68,2
2283,0.44,56.91,192.92,56.84,1.72,4
2284,0.13,34.1,204.71,55.89,1.72,5
2285,0.44,53.35,196.56,60.57,1.78,4
2286,0.18,93.11,208.88,70.91,1.83,2
2287,0.38,80.09,204.1,55.44,1.76,1
2288,0.21,39.44,178.68,70.92,1.72,4
2289,0.15,74.26,202.06,62.54,1.77,4
2290,0.23,31.93,209.21,66.57,1.73,3
2291,0.4,44.11,208.83,60.85,1.77,3
2292,0.37,40.26,193.91,52.94,1.73,1
2293,0.39,38.92,193.73,64.09,1.83,3
2294,0.21,36.4,191.29,67.52,1.82,0
2295,0.43,73.87,207.58,59.85,1.69,2
2296,0.13,32.63,180.11,64.24,1.7,0
2297,0.17,89.28,191.51,64.55,1.71,2
2298,0.47,32.21,198.64,67.05,1.72,3
2299,0.32,62.21,192.89,61.46,1.72,2
2300,0.4,63.73,200.81,57.31,1.76,4
2301,0.34,45.05,182.41,57.54,1.68,2
2302,0.2,53.28,201.8,60.44,1.76,1
2303,0.22,70.44,201.98,57.28,1.74,0
2304,0.38,46.81,199.75,63.96,1.78,0
2305,0.29,41.26,199.42,66.41,1.74,5
2306,0.4,65.69,194.94,63.58,1.71,3
2307,0.45,70.33,204.48,49.5,1.69,3
2308,0.28,80.38,185.44,49.22,1.72,2
2309,0.43,64.07,201.75,63.38,1.74,0
2310,0.32,99.1,188.34,52.0,1.72,3
2311,0.49,95.76,191.86,54.57,1.65,5
2312,0.3,87.58,218.43,58.73,1.73,1
2313,0.5,35.5,199.21,67.14,1.79,2
2314,0.32,53.62,192.76,62.12,1.76,1
2315,0.41,65.78,201.33,64.19,1.7,3
2316,0.43,45.88,191.14,54.86,1.75,5
2317,0.45,48.6,212.37,61.59,1.73,5
2318,0.25,86.71,204.79,57.78,1.72,1
2319,0.15,94.97,188.2,62.41,1.77,5
2320,0.11,73.39,204.56,58.32,1.78,0
2321,0.47,76.13,206.19,58.15,1.73,5
2322,0.18,59.29,213.33,63.53,1.78,3
2323,0.44,34.58,181.33,62.88,1.82,2
2324,0.29,87.59,196.9,68.82,1.79,4
2325,0.28,38.79,193.29,70.02,1.7,0
2326,0.48,44.87,195.0,50.05,1.71,1
2327,0.31,98.73,197.85,57.85,1.76,5
2328,0.13,69.97,212.65,58.05,1.68,5
2329,0.42,91.79,195.14,62.61,1.7,2
2330,0.13,83.69,208.64,47.68,1.77,2
2331,0.32,47.66,209.5,56.74,1.81,4
2332,0.42,75.97,173.83,56.7,1.75,4
2333,0.29,43.27,209.9,56.84,1.72,5
2334,0.46,76.95,191.13,58.01,1.73,2
2335,0.14,36.74,178.44,59.05,1.71,0
2336,0.23,81.79,207.62,62.65,1.75,1
2337,0.46,60.03,209.45,47.03,1.78,1
2338,0.43,53.43,201.07,68.0,1.7,3
2339,0.31,96.63,181.44,64.72,1.79,4
2340,0.22,77.49,187.38,56.04,1.66,2
2341,0.16,65.76,198.31,48.11,1.83,3
2342,0.44,74.05,202.93,57.92,1.76,1
2343,0.19,56.39,209.97,65.77,1.77,1
2344,0.38,76.01,211.3,56.5,1.84,1
2345,0.26,48.02,197.33,64.63,1.78,1
2346,0.34,94.0,200.84,51.72,1.79,4
2347,0.16,60.11,203.21,69.21,1.62,2
2348,0.33,77.83,195.36,53.06,1.72,1
2349,0.44,90.55,197.91,64.57,1.71,1
2350,0.27,50.62,199.6,58.41,1.64,1
2351,0.31,67.53,207.17,60.98,1.74,5
2352,0.19,88.09,203.06,57.49,1.67,4
2353,0.47,82.08,203.03,51.35,1.7,3
2354,0.4,33.98,194.01,53.58,1.74,1
2355,0.16,86.95,209.42,57.25,1.74,1
2356,0.49,70.41,190.85,67.25,1.76,2
2357,0.46,69.05,203.46,51.98,1.75,5
2358,0.35,47.89,195.48,66.14,1.67,5
2359,0.47,37.33,189.09,59.82,1.67,3
2360,0.45,93.36,202.54,59.22,1.81,5
2361,0.41,47.77,188.49,69.82,1.78,1
2362,0.44,56.65,187.46,56.12,1.64,2
2363,0.12,56.07,206.19,53.67,1.73,2
2364,0.19,52.91,202.66,64.55,1.65,3
2365,0.39,89.22,209.77,46.56,1.78,5
2366,0.42,63.31,197.19,59.29,1.76,3
2367,0.16,85.96,208.24,54.57,1.67,1
2368,0.29,91.15,207.58,71.74,1.83,4
2369,0.23,63.08,211.77,59.22,1.69,1
2370,0.45,44.4,201.06,63.16,1.68,5
2371,0.27,89.52,196.45,57.53,1.68,1
2372,0.39,57.43,210.62,59.28,1.74,0
2373,0.37,69.27,220.37,59.06,1.72,2
2374,0.23,49.18,195.3,63.04,1.76,0
2375,0.5,56.85,184.69,56.96,1.75,4
2376,0.43,35.63,205.95,61.8,1.74,0
2377,0.21,33.52,185.94,55.8,1.79,5
2378,0.26,94.73,183.17,60.2,1.72,3
2379,0.17,78.33,202.54,59.76,1.76,4
2380,0.47,77.85,191.63,58.87,1.75,5
2381,0.17,94.52,200.88,60.8,1.83,5
2382,0.49,97.83,202.82,60.32,1.76,5
2383,0.23,34.68,200.99,51.66,1.76,0
2384,0.35,50.13,213.79,62.92,1.74,5
2385,0.24,85.95,206.33,61.97,1.76,5
2386,0.38,81.48,207.32,64.0,1.79,2
2387,0.39,50.61,199.31,55.34,1.76,0
2388,0.47,54.96,211.3,59.15,1.78,4
2389,0.3,61.88,192.33,67.36,1.67,0
2390,0.21,85.83,198.52,66.14,1.76,2
2391,0.37,64.86,170.88,57.16,1.69,2
2392,0.11,84.07,205.6,66.28,1.76,2
2393,0.35,35.58,187.04,59.67,1.84,4
2394,0.12,98.15,196.42,63.03,1.71,0
2395,0.45,45.84,196.81,61.78,1.76,0
2396,0.45,41.87,206.63,68.37,1.74,3
2397,0.4,36.99,195.73,64.92,1.85,3
2398,0.33,80.67,207.43,54.85,1.73,2
2399,0.11,59.17,205.25,53.78,1.68,2
2400,0.17,41.57,206.49,60.0,1.66,2
2401,0.46,52.26,196.66,60.36,1.73,2
2402,0.11,36.49,198.73,54.45,1.72,4
2403,0.22,60.23,203.98,61.42,1.7,3
2404,0.12,81.58,206.43,58.82,1.9,4
2405,0.32,86.6,199.58,64.44,1.72,5
2406,0.35,85.97,184.47,56.97,1.77,5
2407,0.14,97.59,191.42,64.07,1.7,2
2408,0.13,53.21,209.38,62.95,1.79,4
2409,0.21,66.38,205.51,55.97,1.67,3
2410,0.34,84.19,189.86,64.67,1.82,2
2411,0.26,79.41,196.31,61.24,1.73,0
2412,0.2,58.36,191.95,66.01,1.74,0
2413,0.12,68.48,204.67,64.76,1.7,2
2414,0.42,52.96,219.87,57.73,1.72,1
2415,0.47,36.43,195.02,62.66,1.78,5
2416,0.23,40.62,210.16,65.55,1.88,3
2417,0.48,61.14,204.28,56.08,1.74,2
2418,0.17,55.35,198.62,59.49,1.8,5
2419,0.29,87.28,189.64,53.9,1.78,1
2420,0.32,73.36,192.41,58.26,1.65,5
2421,0.49,79.13,188.62,58.77,1.71,2
2422,0.2,90.83,195.71,61.59,1.78,5
2423,0.44,69.54,174.76,63.36,1.72,5
2424,0.2,34.62,205.0,55.87,1.76,0
2425,0.19,64.47,196.81,58.66,1.76,3
2426,0.13,42.84,222.01,57.57,1.84,4
2427,0.2,30.63,203.15,56.98,1.72,5
2428,0.12,84.9,198.24,67.6,1.69,3
2429,0.46,99.06,192.43,59.04,1.74,2
2430,0.1,69.01,202.42,58.71,1.81,4
2431,0.44,52.96,201.33,58.64,1.78,4
2432,0.33,70.12,211.87,58.82,1.67,1
2433,0.15,55.05,184.59,61.05,1.68,0
2434,0.25,85.53,202.24,60.04,1.74,0
2435,0.31,98.82,193.3,58.05,1.69,3
2436,0.36,97.33,204.09,56.13,1.78,1
2437,0.26,90.73,196.49,58.38,1.85,2
2438,0.17,40.61,198.41,59.6,1.76,3
2439,0.19,49.02,198.59,66.33,1.77,5
2440,0.29,76.39,186.89,63.8,1.71,3
2441,0.33,87.33,202.55,62.19,1.77,0
2442,0.47,39.28,201.94,53.14,1.77,3
2443,0.15,68.81,198.28,50.68,1.76,0
2444,0.21,48.13,185.62,54.98,1.7,1
2445,0.29,40.28,198.37,62.39,1.67,5
2446,0.4,99.01,198.47,58.22,1.68,1
2447,0.25,30.24,204.38,58.22,1.86,0
2448,0.28,43.79,213.25,60.79,1.68,4
2449,0.5,95.12,207.34,60.21,1.79,1
2450,0.1,96.26,218.87,55.02,1.73,0
2451,0.13,79.73,188.92,57.38,1.73,3
2452,0.19,78.3,205.31,55.0,1.78,4
2453,0.37,68.9,189.59,80.24,1.78,3
2454,0.19,93.56,211.71,57.46,1.73,0
2455,0.25,64.88,205.98,70.28,1.79,0
2456,0.36,62.34,193.56,58.45,1.82,3
2457,0.3,78.76,194.03,70.99,1.77,3
2458,0.23,39.14,215.44,59.22,1.71,4
2459,0.47,67.56,207.02,63.69,1.76,5
2460,0.28,77.0,195.84,59.83,1.75,5
2461,0.12,96.15,198.73,67.67,1.72,5
2462,0.42,70.99,200.77,51.51,1.8,0
2463,0.47,41.32,211.22,58.82,1.72,1
2464,0.18,55.96,204.15,54.72,1.79,5
2465,0.31,94.03,199.95,58.43,1.84,5
2466,0.13,39.46,207.21,57.99,1.88,2
2467,0.22,47.77,203.81,66.8,1.84,0
2468,0.5,69.16,200.91,52.92,1.87,4
2469,0.27,90.84,200.63,66.75,1.81,2
2470,0.26,74.49,201.19,66.18,1.68,0
2471,0.19,87.1,183.75,63.85,1.74,0
2472,0.17,35.55,211.85,61.83,1.83,0
2473,0.13,55.02,197.11,57.06,1.81,2
2474,0.1,83.74,200.78,54.37,1.76,2
2475,0.42,66.48,192.16,69.5,1.79,0
2476,0.35,38.48,212.75,59.4,1.78,1
2477,0.11,70.17,186.33,60.89,1.74,2
2478,0.14,94.47,210.09,59.69,1.71,3
2479,0.49,52.25,202.59,63.56,1.73,3
2480,0.42,99.39,193.74,65.39,1.77,5
2481,0.17,90.36,191.79,53.16,1.68,5
2482,0.5,78.77,207.36,63.45,1.66,4
2483,0.34,83.91,204.61,57.07,1.79,3
2484,0.26,34.0,204.55,55.5,1.69,0
2485,0.14,62.69,218.65,57.61,1.7,3
2486,0.13,94.05,193.73,61.52,1.84,0
2487,0.22,90.06,211.53,60.94,1.79,2
2488,0.16,55.12,195.78,58.23,1.71,4
2489,0.27,82.35,190.74,53.61,1.73,3
2490,0.31,68.68,203.4,65.07,1.72,3
2491,0.25,74.65,221.84,62.66,1.79,1
2492,0.22,46.07,182.25,67.38,1.72,1
2493,0.45,57.2,219.99,62.11,1.79,5
2494,0.31,80.37,205.63,56.0,1.72,0
2495,0.49,87.11,187.7,59.11,1.92,5
2496,0.22,48.62,201.04,66.37,1.84,1
2497,0.22,44.22,197.64,60.2,1.72,2
2498,0.39,31.43,197.75,59.06,1.71,4
2499,0.16,36.07,192.59,59.95,1.74,5
2500,0.49,76.95,203.83,58.96,1.81,0
2501,0.21,40.3,203.65,53.98,1.77,3
2502,0.44,51.33,196.5,59.18,1.72,3
2503,0.28,98.11,187.53,57.43,1.76,1
2504,0.41,90.87,191.42,60.86,1.73,2
2505,0.22,88.76,202.74,67.63,1.75,3
2506,0.38,83.7,179.29,61.66,1.69,0
2507,0.21,68.32,194.98,59.91,1.81,3
2508,0.35,98.95,176.81,63.86,1.66,3
2509,0.23,40.12,213.26,57.31,1.79,3
2510,0.11,61.26,206.24,60.24,1.73,2
2511,0.48,54.64,193.1,49.77,1.68,2
2512,0.14,73.51,203.51,56.67,1.76,5
2513,0.11,30.95,199.25,73.11,1.72,0
2514,0.47,67.0,197.18,59.26,1.63,3
2515,0.44,81.88,205.67,60.25,1.77,1
2516,0.13,32.58,178.29,61.27,1.82,2
2517,0.2,39.13,202.58,55.84,1.93,4
2518,0.3,90.55,213.72,63.0,1.76,4
2519,0.14,58.06,203.91,51.18,1.86,3
2520,0.27,94.34,204.05,64.39,1.76,0
2521,0.49,31.44,217.74,62.27,1.81,2
2522,0.39,49.79,206.49,60.36,1.63,0
2523,0.33,55.38,195.97,65.37,1.76,1
2524,0.15,39.76,213.27,60.79,1.79,3
2525,0.32,70.59,201.12,67.62,1.71,2
2526,0.47,35.96,205.39,55.79,1.71,3
2527,0.46,36.8,212.6,60.0,1.7,3
2528,0.37,80.12,204.13,51.15,1.74,4
2529,0.37,49.2,215.94,69.02,1.77,3
2530,0.38,86.69,199.35,70.64,1.79,3
2531,0.11,75.11,194.67,58.74,1.7,4
2532,0.12,80.5,202.85,51.51,1.75,5
2533,0.37,37.11,200.52,68.25,1.77,0
2534,0.31,70.49,207.65,69.45,1.84,1
2535,0.43,40.92,202.6,56.51,1.82,0
2536,0.21,61.4,217.19,52.57,1.68,5
2537,0.33,44.94,203.26,58.75,1.73,4
2538,0.28,60.86,202.94,60.19,1.79,2
2539,0.39,98.07,187.5,55.75,1.8,1
2540,0.13,59.65,214.93,67.07,1.7,2
2541,0.28,88.57,197.65,66.4,1.72,2
2542,0.42,43.85,195.8,65.0,1.76,4
2543,0.1,41.15,196.32,53.62,1.79,3
2544,0.24,77.49,195.68,59.69,1.76,2
2545,0.24,85.14,201.36,66.86,1.73,1
2546,0.27,73.85,192.74,65.94,1.77,3
2547,0.37,95.52,186.71,52.88,1.81,2
2548,0.29,68.66,219.56,60.31,1.72,1
2549,0.4,65.34,186.31,64.32,1.75,2
2550,0.31,45.32,191.73,55.38,1.83,4
2551,0.22,39.12,191.63,64.63,1.75,4
2552,0.44,61.54,197.77,55.39,1.79,2
2553,0.28,57.96,192.91,64.43,1.8,4
2554,0.18,73.5,201.46,62.58,1.69,2
2555,0.23,39.74,209.68,64.6,1.75,3
2556,0.47,44.39,207.47,62.23,1.79,5
2557,0.48,69.68,205.0,66.43,1.63,2
2558,0.35,77.42,193.57,68.16,1.85,2
2559,0.19,54.3,204.69,58.52,1.68,1
2560,0.27,99.06,212.22,52.86,1.76,2
2561,0.45,73.63,210.86,56.89,1.75,2
2562,0.2,87.8,201.08,61.35,1.76,2
2563,0.2,33.94,212.98,58.12,1.79,0
2564,0.22,78.36,207.89,48.18,1.69,2
2565,0.26,49.4,197.41,63.01,1.84,2
2566,0.16,64.72,188.62,61.76,1.67,2
2567,0.19,41.03,189.36,59.33,1.69,1
2568,0.13,79.52,193.6,65.39,1.78,4
2569,0.3,71.74,192.97,61.15,1.63,5
2570,0.17,62.19,184.23,54.98,1.74,4
2571,0.19,42.47,199.48,59.16,1.86,0
2572,0.22,50.44,192.88,58.91,1.75,0
2573,0.27,48.28,200.57,69.51,1.72,1
2574,0.25,32.61,194.24,54.31,1.75,4
2575,0.32,71.5,188.33,59.21,1.75,2
2576,0.12,70.13,200.45,58.52,1.74,1
2577,0.11,52.14,206.43,59.56,1.78,2
2578,0.23,73.12,194.29,63.43,1.74,1
2579,0.28,77.11,217.76,59.26,1.77,5
2580,0.49,90.56,189.77,66.36,1.73,2
2581,0.11,63.31,212.99,52.54,1.79,5
2582,0.44,74.74,190.39,49.97,1.78,1
2583,0.16,59.09,204.45,53.5,1.78,5
2584,0.32,55.73,197.02,58.92,1.76,5
2585,0.41,45.13,205.0,59.59,1.82,5
2586,0.41,83.31,185.23,55.41,1.75,4
2587,0.19,65.3,209.94,51.76,1.79,2
2588,0.42,72.22,178.49,67.6,1.69,1
2589,0.12,41.19,193.39,64.35,1.72,5
2590,0.25,45.26,193.24,66.19,1.73,2
2591,0.49,30.0,206.54,65.82,1.77,2
2592,0.4,47.83,215.13,58.79,1.75,1
2593,0.27,86.03,198.03,47.3,1.86,1
2594,0.19,76.96,195.31,63.67,1.66,1
2595,0.27,40.2,182.27,58.64,1.75,5
2596,0.27,45.06,221.98,54.85,1.79,5
2597,0.49,80.45,178.47,54.65,1.76,5
2598,0.18,42.28,172.37,54.02,1.78,0
2599,0.42,59.87,189.2,54.79,1.73,3
2600,0.43,98.16,198.4,59.87,1.7,0
2601,0.21,84.46,220.15,66.23,1.71,1
2602,0.44,58.84,214.29,60.98,1.73,0
2603,0.49,43.55,209.15,59.48,1.73,4
2604,0.29,63.12,195.31,58.2,1.76,0
2605,0.24,34.65,199.03,66.02,1.69,2
2606,0.29,89.15,200.27,57.62,1.67,3
2607,0.32,91.57,185.76,66.2,1.76,3
2608,0.34,79.38,206.9,58.57,1.7,2
2609,0.31,92.73,185.25,62.2,1.72,4
2610,0.44,74.77,192.88,61.45,1.78,1
2611,0.23,40.21,202.92,62.62,1.67,3
2612,0.5,70.14,201.35,59.18,1.8,4
2613,0.31,73.28,188.97,63.07,1.84,3
2614,0.13,36.51,192.69,61.02,1.72,5
2615,0.18,73.76,215.92,61.66,1.74,1
2616,0.32,97.47,196.19,47.99,1.79,5
2617,0.43,65.48,222.99,51.33,1.72,2
2618,0.18,99.94,206.26,59.01,1.72,3
2619,0.49,59.7,212.66,61.05,1.77,0
2620,0.14,82.57,194.47,65.28,1.77,5
2621,0.49,84.76,209.01,60.17,1.74,1
2622,0.18,39.12,172.37,58.74,1.73,1
2623,0.34,71.22,186.01,58.47,1.75,3
2624,0.4,86.73,197.7,63.24,1.67,1
2625,0.18,56.55,191.57,59.4,1.79,1
2626,0.26,30.81,208.75,61.65,1.8,1
2627,0.14,62.63,213.11,66.88,1.81,0
2628,0.44,44.04,183.39,56.47,1.79,5
2629,0.3,34.64,208.09,58.95,1.63,0
2630,0.37,98.68,200.98,65.56,1.81,4
2631,0.31,56.76,213.94,55.18,1.83,1
2632,0.47,58.07,192.47,60.57,1.74,1
2633,0.33,38.94,196.34,59.76,1.76,3
2634,0.28,34.1,195.94,65.13,1.78,0
2635,0.41,43.79,205.44,49.15,1.75,4
2636,0.36,96.12,210.64,63.07,1.74,0
2637,0.29,50.24,185.23,66.71,1.76,5
2638,0.13,74.85,196.48,62.93,1.74,4
2639,0.5,38.02,167.35,51.45,1.74,1
2640,0.14,40.73,213.23,58.19,1.76,1
2641,0.27,76.41,203.41,66.79,1.74,5
2642,0.42,99.24,199.57,61.44,1.74,3
2643,0.19,59.05,213.64,60.58,1.69,0
2644,0.23,34.01,204.5,51.77,1.8,2
2645,0.16,36.11,185.43,66.6,1.72,0
2646,0.15,31.69,217.66,55.69,1.8,1
2647,0.35,54.76,205.32,57.91,1.78,0
2648,0.21,70.74,185.17,54.33,1.77,2
2649,0.13,40.32,189.98,59.89,1.76,1
2650,0.47,46.45,189.02,54.69,1.75,1
2651,0.21,45.92,209.9,63.3,1.79,4
2652,0.3,83.24,221.75,61.5,1.74,2
2653,0.35,99.95,219.36,65.55,1.82,3
2654,0.36,35.55,205.34,65.83,1.72,3
2655,0.25,36.84,198.07,54.26,1.73,2
2656,0.33,97.61,189.41,63.9,1.75,3
2657,0.43,59.6,194.17,59.7,1.74,4
2658,0.31,58.11,209.93,63.77,1.74,3
2659,0.22,78.32,201.34,64.33,1.7,3
2660,0.2,34.98,223.54,67.77,1.79,0
2661,0.23,56.55,178.46,64.78,1.76,1
2662,0.29,64.96,224.86,60.3,1.77,3
2663,0.45,42.87,200.47,62.07,1.77,1
2664,0.33,36.01,201.77,54.91,1.72,0
2665,0.39,69.42,200.28,56.59,1.68,4
2666,0.34,80.16,183.03,56.04,1.75,5
2667,0.23,47.3,197.74,61.45,1.74,0
2668,0.49,55.75,203.75,65.1,1.76,1
2669,0.13,91.39,206.78,65.11,1.8,0
2670,0.25,65.91,197.18,67.65,1.71,3
2671,0.23,36.64,195.81,61.61,1.8,1
2672,0.19,92.49,187.93,50.69,1.73,2
2673,0.12,78.46,192.01,46.0,1.72,3
2674,0.27,53.45,193.09,60.95,1.76,2
2675,0.5,72.04,201.15,61.07,1.7,1
2676,0.39,87.43,189.04,59.68,1.73,1
2677,0.16,80.38,191.19,59.05,1.73,1
2678,0.45,93.56,221.49,63.71,1.78,0
2679,0.42,56.37,201.14,64.78,1.76,1
2680,0.46,99.73,214.77,54.5,1.82,2
2681,0.19,65.46,199.2,66.56,1.77,3
2682,0.43,77.38,194.0,60.37,1.75,5
2683,0.11,58.52,204.34,63.77,1.62,2
2684,0.22,46.52,200.31,65.05,1.84,0
2685,0.28,65.06,191.27,55.35,1.81,2
2686,0.25,42.83,195.3,55.04,1.82,3
2687,0.33,87.06,195.6,65.32,1.78,3
2688,0.37,72.86,193.57,60.76,1.73,2
2689,0.21,59.62,202.01,65.34,1.75,4
2690,0.13,58.53,211.48,56.6,1.78,5
2691,0.11,50.19,209.72,60.61,1.73,4
2692,0.26,43.43,203.79,51.78,1.8,3
2693,0.47,62.2,194.8,61.89,1.77,3
2694,0.35,65.66,198.85,69.34,1.84,4
2695,0.26,36.7,222.82,68.39,1.76,5
2696,0.43,57.72,213.5,60.55,1.77,4
2697,0.49,78.27,213.76,65.87,1.76,4
2698,0.5,88.6,194.63,59.81,1.72,0
2699,0.16,93.73,180.06,62.54,1.66,5
2700,0.17,93.1,204.44,64.23,1.83,4
2701,0.17,80.26,194.43,56.86,1.73,0
2702,0.48,39.34,195.59,60.87,1.84,4
2703,0.45,54.67,200.71,65.27,1.8,4
2704,0.3,42.82,213.67,67.78,1.77,3
2705,0.35,67.97,194.47,58.28,1.82,3
2706,0.28,53.78,207.57,57.62,1.8,0
2707,0.42,35.78,194.88,62.51,1.75,3
2708,0.36,87.35,209.42,52.04,1.73,4
2709,0.24,92.81,210.84,63.6,1.82,3
2710,0.15,52.18,197.12,61.14,1.84,0
