machineID,spindle_speed [RPM],feed_rate [mm/min],tool_temperature [°C],vibration_level [m/s²],power_consumption [kW],tool_wear [min],failure_type
2475,1045.71,286.45,495100.25,1.8,4.33,0.0,4
2476,1159.82,289.61,495295.12,1.33,4.47,0.0,1
2477,1158.48,238.98,495496.58,1.58,5.02,0.0,5
2478,1132.63,100.41,495693.62,1.58,5.17,0.0,0
2479,1279.79,136.23,495897.37,1.72,4.21,0.0,5
2480,1111.31,105.06,496105.73,1.65,5.25,0.0,0
2481,1263.44,122.09,496309.93,1.68,5.25,0.0,5
2482,1362.93,169.31,496518.52,1.14,5.13,0.0,3
2483,1213.91,149.21,496710.29,1.16,5.12,0.0,4
2484,1114.23,242.8,496901.67,1.72,5.41,0.0,2
2485,1075.07,114.99,497110.06,2.08,5.43,0.0,5
2486,1129.02,273.72,497313.2,1.37,5.68,0.0,1
2487,1270.46,129.55,497507.05,1.29,4.21,0.0,1
2488,1215.56,192.2,497708.08,1.28,5.22,0.0,4
2489,1293.68,297.23,497916.8,1.75,5.54,0.0,1
2490,1277.03,106.31,498117.97,1.49,3.95,0.0,5
2491,1214.08,282.0,498321.78,1.59,5.02,0.0,1
2492,1247.35,281.28,498520.08,1.45,5.59,0.0,2
2493,1385.52,219.24,498719.03,1.16,4.29,0.0,3
2494,1341.57,261.88,498919.06,1.47,4.99,0.0,5
2495,1169.73,145.52,499126.19,1.78,4.87,0.0,4
2496,1298.97,193.53,499326.26,1.32,5.0,0.0,1
2497,1258.59,287.93,499524.06,1.39,4.71,0.0,1
2498,1313.64,208.55,499725.41,0.94,5.88,0.0,1
2499,1267.16,297.92,499920.04,1.7,5.56,0.0,1
2500,1102.58,214.54,500113.33,1.51,4.95,0.0,1
2501,1038.03,157.2,500312.47,1.52,4.88,0.0,4
2502,1257.26,205.96,500506.24,1.53,4.37,0.0,3
2503,1390.26,164.54,500701.76,1.59,4.72,0.0,4
2504,1122.43,157.76,500901.62,1.49,4.78,0.0,2
2505,1181.19,228.33,501108.36,1.46,4.84,0.0,1
2506,1096.43,285.64,501306.97,1.24,5.74,0.0,0
2507,1317.78,149.67,501512.09,1.91,5.37,0.0,5
2508,969.48,174.95,501712.68,1.63,4.87,0.0,4
2509,973.63,136.81,501910.8,1.21,5.24,0.0,3
2510,1237.5,122.04,502109.72,1.4,5.15,0.0,3
2511,1191.77,177.36,502311.76,1.67,4.55,0.0,1
2512,1152.04,283.49,502513.35,1.35,4.29,0.0,3
2513,1169.89,195.32,502715.2,1.85,5.02,0.0,1
2514,1253.7,190.19,502897.44,1.65,4.64,0.0,0
2515,1158.62,290.47,503097.31,1.72,4.87,0.0,5
2516,1090.31,292.94,503302.42,1.31,4.84,0.0,0
2517,1107.26,203.18,503505.48,1.44,5.02,0.0,5
2518,1288.83,238.22,503701.11,1.14,5.12,0.0,0
2519,1147.53,226.38,503910.69,1.43,5.35,0.0,3
2520,1061.47,173.76,504116.07,1.58,6.39,0.0,4
2521,1210.22,273.86,504321.27,1.43,4.91,0.0,3
2522,1250.5,204.25,504520.64,1.71,4.65,0.0,4
2523,1332.9,231.03,504719.84,1.69,5.58,0.0,0
2524,1221.79,185.34,504914.32,1.7,4.33,0.0,4
2525,1134.03,108.25,505117.91,1.59,5.01,0.0,3
2526,1247.4,167.31,505327.47,1.14,5.56,0.0,5
2527,1272.72,158.95,505523.88,1.72,4.82,0.0,4
2528,1196.11,125.68,505722.46,1.41,4.79,0.0,4
2529,1195.54,128.06,505923.37,1.46,4.55,0.0,2
2530,1226.01,279.22,506123.62,1.65,4.88,0.0,1
2531,1193.01,233.28,506324.42,1.47,4.91,0.0,4
2532,1225.01,187.63,506531.02,1.53,4.19,0.0,0
2533,1097.81,262.85,506720.99,1.41,4.56,0.0,4
2534,1084.96,164.78,506926.69,1.86,5.81,0.0,2
2535,1116.39,159.66,507132.08,1.59,5.11,0.0,1
2536,1264.22,274.55,507330.57,1.27,5.22,0.0,0
2537,1225.88,194.52,507530.49,1.53,5.14,0.0,5
2538,1304.02,121.28,507731.97,1.55,5.44,0.0,3
2539,1181.33,102.41,507927.39,0.92,4.9,0.0,1
2540,1085.64,247.7,508127.65,1.55,4.69,0.0,0
2541,1314.46,232.56,508323.05,1.45,4.62,0.0,5
2542,1198.12,256.5,508525.08,1.79,4.27,0.0,1
2543,1328.35,100.99,508720.16,1.66,4.28,0.0,5
2544,1259.79,156.83,508918.63,1.64,3.95,0.0,5
2545,1418.86,233.69,509120.01,1.47,5.21,0.0,0
2546,1178.02,237.05,509323.41,1.27,5.48,0.0,4
2547,1290.07,198.46,509524.1,1.67,5.11,0.0,3
2548,1289.14,118.37,509715.21,1.4,5.73,0.0,5
2549,1144.49,183.84,509920.44,1.38,4.36,0.0,4
2550,1182.75,212.45,510112.94,1.29,5.33,0.0,4
2551,1053.83,297.74,510314.37,1.28,5.28,0.0,5
2552,1045.12,186.07,510516.6,1.52,5.57,0.0,4
2553,1212.66,231.23,510730.16,1.5,5.07,0.0,4
2554,1279.3,269.81,510930.32,1.61,4.89,0.0,5
2555,1263.8,187.98,511130.43,1.43,4.93,0.0,3
2556,1234.0,131.0,511337.36,1.54,4.99,0.0,5
2557,1286.3,258.0,511536.31,1.29,5.75,0.0,1
2558,1141.03,288.24,511738.94,1.44,5.77,0.0,5
2559,1172.75,236.32,511938.48,1.66,4.43,0.0,3
2560,1273.75,221.9,512131.2,1.37,4.95,0.0,1
2561,1243.31,276.0,512339.23,1.53,5.05,0.0,4
2562,1178.98,284.91,512537.17,1.51,4.97,0.0,3
2563,1332.08,154.71,512733.17,1.54,5.48,0.0,0
2564,1070.8,265.05,512930.76,1.49,4.86,0.0,4
2565,1148.13,143.03,513134.32,1.48,5.49,0.0,1
2566,1171.66,145.09,513344.97,2.16,4.13,0.0,3
2567,1281.65,178.86,513544.84,1.65,5.62,0.0,1
2568,1200.24,147.29,513743.5,1.35,4.62,0.0,2
2569,1073.85,257.83,513940.87,1.37,5.78,0.0,0
2570,1251.4,213.34,514140.1,1.63,4.09,0.0,5
2571,1308.75,293.67,514344.41,1.67,5.57,0.0,1
2572,1273.93,170.27,514545.13,1.53,5.3,0.0,1
2573,1261.92,250.75,514751.1,1.55,5.32,0.0,1
2574,1012.57,276.35,514949.07,1.61,4.59,0.0,4
2575,1110.01,225.48,515143.4,1.31,3.75,0.0,5
2576,1248.21,235.83,515342.49,1.42,5.76,0.0,4
2577,1194.51,182.61,515541.9,1.66,4.73,0.0,4
2578,1252.26,196.62,515742.61,1.97,5.08,0.0,2
2579,1073.37,216.04,515939.49,1.5,5.16,0.0,2
2580,1193.85,143.14,516133.72,1.53,5.46,0.0,1
2581,1061.02,111.18,516330.2,1.6,5.45,0.0,5
2582,1004.63,115.13,516533.04,1.46,5.61,0.0,4
2583,1229.58,288.67,516734.49,1.78,4.6,0.0,5
2584,1284.26,219.27,516935.37,1.69,4.71,0.0,0
2585,1224.56,101.07,517138.27,1.43,4.88,0.0,4
2586,1196.7,123.81,517335.7,1.12,5.38,0.0,1
2587,1043.8,258.14,517535.78,1.49,4.34,0.0,0
2588,1300.61,165.23,517740.34,1.74,5.11,0.0,4
2589,1195.6,243.77,517939.8,1.6,5.73,0.0,2
2590,1395.96,245.22,518151.42,1.91,4.67,0.0,5
2591,1294.23,244.31,518345.51,1.3,4.28,0.0,4
2592,999.49,104.58,518552.19,1.25,5.22,0.0,1
2593,1275.5,153.28,518755.08,1.18,4.77,0.0,4
2594,1060.35,159.5,518956.52,1.14,5.29,0.0,4
2595,1124.05,121.69,519158.81,1.05,3.99,0.0,4
2596,1174.92,189.1,519358.15,1.8,5.34,0.0,1
2597,1190.59,283.24,519558.18,1.6,5.95,0.0,5
2598,1239.76,118.58,519760.83,1.53,5.21,0.0,4
2599,1097.71,140.0,519957.14,1.44,5.19,0.0,2
2600,1084.93,190.32,520165.39,1.56,4.82,0.0,0
2601,1260.06,181.2,520369.82,1.55,5.13,0.0,4
2602,1198.67,236.19,520576.17,1.33,5.71,0.0,1
2603,1217.44,139.75,520783.64,1.64,5.19,0.0,5
2604,980.63,179.59,520983.99,1.55,5.47,0.0,5
2605,1182.29,263.24,521188.55,1.41,5.08,0.0,4
2606,1110.93,223.16,521389.02,1.25,5.16,0.0,3
2607,1107.94,193.73,521583.77,1.52,5.04,0.0,5
2608,1292.19,213.54,521787.71,1.34,4.55,0.0,0
2609,1090.43,206.49,521988.8,1.52,4.23,0.0,0
2610,1090.71,212.41,522192.88,1.42,5.15,0.0,4
2611,1166.9,104.17,522393.19,1.55,4.71,0.0,0
2612,1245.03,295.53,522593.7,1.35,4.98,0.0,1
2613,1111.6,112.49,522801.18,1.75,4.53,0.0,4
2614,1323.41,165.29,523003.09,1.32,4.37,0.0,0
2615,1344.98,293.46,523201.48,1.71,4.25,0.0,3
2616,1111.86,211.16,523409.59,1.55,5.21,0.0,4
2617,1175.49,191.92,523611.91,1.77,4.32,0.0,5
2618,1122.13,237.63,523813.65,1.31,4.95,0.0,0
2619,1031.46,116.2,524015.08,1.62,5.09,0.0,3
2620,1230.3,267.93,524215.53,1.62,4.84,0.0,3
2621,1273.36,214.58,524415.57,1.61,4.29,0.0,1
2622,1401.19,286.55,524621.28,1.23,5.29,0.0,1
2623,1110.26,297.33,524820.25,1.3,5.56,0.0,1
2624,1333.62,285.96,525020.98,1.42,4.29,0.0,4
2625,1334.24,299.51,525220.17,1.44,4.66,0.0,3
2626,1219.79,174.54,525414.58,1.52,5.19,0.0,2
2627,1260.22,216.91,525614.85,1.36,4.87,0.0,3
2628,1287.33,286.24,525815.33,1.06,5.59,0.0,4
2629,1397.41,140.31,526016.29,1.45,5.53,0.0,5
2630,1247.78,112.98,526215.06,1.6,5.17,0.0,1
2631,1193.99,189.96,526420.45,1.63,4.1,0.0,0
2632,1113.38,268.8,526624.34,0.93,5.51,0.0,5
2633,1230.53,122.31,526814.32,1.5,4.76,0.0,4
2634,1302.42,122.17,527007.38,1.51,5.66,0.0,5
2635,1224.46,155.18,527216.47,1.61,4.41,0.0,2
2636,1122.01,252.13,527409.75,1.33,5.26,0.0,4
2637,1208.91,256.36,527608.79,1.29,5.4,0.0,4
2638,1187.08,168.81,527807.52,1.94,5.0,0.0,1
2639,1226.47,238.28,528005.36,1.66,5.41,0.0,1
2640,1033.82,146.68,528202.83,1.84,5.16,0.0,0
2641,1255.08,138.11,528396.87,1.68,4.5,0.0,0
2642,1259.54,193.59,528601.31,1.24,5.19,0.0,5
2643,1244.49,197.01,528808.21,1.24,4.54,0.0,1
2644,1199.62,206.1,529004.18,1.43,5.74,0.0,3
2645,1019.41,107.19,529207.33,1.38,5.76,0.0,5
2646,1198.07,183.0,529400.05,1.73,5.04,0.0,3
2647,1306.07,250.63,529598.84,1.44,4.52,0.0,5
2648,1113.99,153.49,529793.22,1.34,4.92,0.0,5
2649,1001.07,115.19,529989.01,1.95,5.12,0.0,3
2650,1045.94,175.43,530185.95,1.49,4.53,0.0,3
2651,1231.4,214.66,530384.34,1.24,5.76,0.0,2
2652,1237.29,270.7,530593.3,1.64,4.71,0.0,0
2653,1288.63,185.45,530791.82,1.64,4.92,0.0,2
2654,1194.47,125.4,530986.32,1.3,5.04,0.0,1
2655,1049.97,202.62,531186.18,1.55,5.16,0.0,3
2656,1118.15,171.22,531393.78,1.79,4.39,0.0,2
2657,1281.88,263.86,531595.97,1.68,6.29,0.0,2
2658,1214.05,202.36,531795.61,1.48,4.55,0.0,3
2659,1264.98,137.73,531989.51,1.43,4.51,0.0,3
2660,1243.48,106.34,532183.73,1.23,4.8,0.0,5
2661,1179.5,130.6,532381.17,1.51,5.22,0.0,0
2662,1182.6,245.95,532583.71,0.99,4.44,0.0,3
2663,1385.71,297.18,532775.71,1.6,5.62,0.0,1
2664,1241.47,244.86,532978.92,1.27,5.25,0.0,1
2665,1187.14,236.82,533185.05,1.53,5.11,0.0,4
2666,1245.54,139.11,533382.29,1.97,5.35,0.0,2
2667,1222.29,158.13,533584.98,1.3,4.22,0.0,1
2668,984.26,108.7,533789.76,1.32,5.5,0.0,3
2669,1265.01,205.59,533984.01,1.76,5.61,0.0,3
2670,1382.09,157.52,534186.31,1.54,4.85,0.0,5
2671,1121.97,219.94,534387.94,1.56,5.32,0.0,1
2672,1345.4,201.84,534575.16,1.32,5.06,0.0,0
2673,1174.31,185.11,534775.43,1.78,4.74,0.0,3
2674,1229.35,143.49,534980.41,1.58,5.37,0.0,3
2675,1307.04,206.41,535168.47,1.45,5.34,0.0,4
2676,1128.0,250.75,535366.95,1.5,5.73,0.0,2
2677,1324.25,245.88,535565.6,1.6,5.38,0.0,0
2678,1078.58,273.12,535761.15,1.35,5.08,0.0,0
2679,1112.48,117.89,535960.68,1.43,4.93,0.0,0
2680,1140.65,175.8,536163.48,1.36,5.43,0.0,5
2681,1266.2,273.99,536367.2,1.63,5.54,0.0,4
2682,1165.91,193.77,536564.11,1.48,5.04,0.0,0
2683,1048.0,117.96,536771.42,1.71,6.06,0.0,5
2684,1178.35,161.53,536968.97,1.42,5.21,0.0,2
2685,1121.58,161.66,537160.59,1.58,4.71,0.0,1
2686,1273.13,181.71,537365.22,1.73,5.41,0.0,5
2687,1165.68,228.11,537563.55,1.53,4.81,0.0,1
2688,1207.08,124.02,537762.11,1.52,5.55,0.0,4
2689,1159.45,203.56,537963.36,1.53,4.75,0.0,3
2690,1243.39,120.92,538159.19,1.65,5.07,0.0,3
2691,1181.64,137.61,538364.54,1.78,5.63,0.0,5
2692,1232.52,171.04,538560.16,1.69,5.41,0.0,0
2693,940.66,211.39,538764.56,1.46,4.95,0.0,1
2694,1209.73,200.66,538962.35,1.09,5.86,0.0,1
2695,1241.39,192.01,539155.12,1.42,4.8,0.0,0
2696,1180.07,185.84,539356.72,1.44,4.96,0.0,4
2697,1266.94,168.6,539553.39,1.5,5.44,0.0,5
2698,1273.86,112.15,539753.37,1.63,5.63,0.0,4
2699,1330.42,219.58,539954.67,1.21,5.49,0.0,2
2700,1210.48,199.87,540147.67,1.26,5.5,0.0,1
2701,1008.62,197.44,540347.78,1.05,4.88,0.0,3
2702,971.45,245.67,540546.2,1.53,5.14,0.0,0
2703,1039.82,230.76,540753.25,1.7,5.72,0.0,0
2704,1196.21,204.81,540948.96,1.83,5.28,0.0,5
2705,1184.27,102.39,541150.87,1.6,4.49,0.0,4
2706,1227.62,290.57,541353.43,1.46,5.95,0.0,0
2707,1137.48,221.66,541556.33,1.86,4.55,0.0,5
2708,1126.35,108.69,541752.34,1.21,4.81,0.0,0
2709,1255.5,136.48,541946.95,1.3,6.0,0.0,1
2710,1265.59,188.03,542144.22,1.39,5.17,0.0,3
2711,1174.33,265.93,542337.02,1.56,5.12,0.0,2
2712,1196.15,116.97,542541.7,1.17,4.41,0.0,2
2713,1240.43,185.81,542738.58,1.57,5.42,0.0,2
2714,1250.43,162.83,542934.92,1.31,5.13,0.0,2
2715,1085.6,230.06,543143.59,1.74,5.21,0.0,4
2716,1128.04,276.94,543340.07,1.16,4.75,0.0,1
2717,1076.95,213.31,543535.76,1.34,5.29,0.0,0
2718,1149.31,231.43,543737.15,1.33,4.58,0.0,1
2719,1281.23,190.33,543946.3,1.99,5.24,0.0,5
2720,1254.63,285.16,544139.55,1.56,4.38,0.0,3
2721,1090.19,225.47,544340.39,1.21,4.64,0.0,5
2722,1251.23,105.14,544548.68,1.63,5.31,0.0,5
2723,1208.58,133.17,544741.32,1.95,5.15,0.0,0
2724,1150.61,265.15,544942.52,1.63,5.08,0.0,1
2725,1059.35,117.88,545142.08,1.69,4.9,0.0,3
2726,1182.52,249.9,545346.36,1.33,5.21,0.0,4
2727,1267.99,116.0,545540.56,1.37,5.06,0.0,0
2728,983.69,214.8,545740.22,1.7,5.12,0.0,3
2729,1160.39,133.2,545941.3,1.87,6.19,0.0,2
2730,1425.43,299.4,546131.34,1.34,5.49,0.0,1
2731,1267.26,254.94,546331.36,1.38,5.8,0.0,1
2732,1225.98,220.87,546530.14,1.7,5.05,0.0,0
2733,1126.28,259.63,546738.86,1.15,4.57,0.0,0
2734,1132.17,152.1,546940.16,1.61,4.87,0.0,5
2735,1191.67,260.81,547143.23,1.31,5.26,0.0,1
2736,1360.29,126.36,547339.81,1.72,5.49,0.0,3
2737,1246.56,255.04,547537.84,1.55,4.84,0.0,0
2738,1112.78,266.19,547740.32,1.29,5.44,0.0,2
2739,1317.68,143.75,547938.24,1.35,4.77,0.0,5
2740,1170.74,294.59,548129.23,1.43,5.1,0.0,2
2741,1369.73,130.7,548331.91,1.7,4.64,0.0,3
2742,1143.34,240.27,548529.68,1.86,4.26,0.0,1
2743,1099.67,241.06,548724.61,1.55,5.63,0.0,5
2744,1217.46,297.09,548932.7,1.48,4.67,0.0,4
2745,1298.23,127.53,549142.16,1.66,4.67,0.0,1
2746,1303.74,234.52,549349.34,1.59,4.13,0.0,4
2747,1215.92,169.23,549551.82,0.94,5.13,0.0,3
2748,1101.19,150.65,549753.33,1.57,5.54,0.0,2
2749,1149.47,286.97,549956.35,1.27,5.28,0.0,2
2750,998.17,103.61,550159.59,1.35,5.55,0.0,5
2751,1108.69,278.7,550358.57,1.17,4.64,0.0,2
2752,1182.15,168.95,550560.96,1.05,4.28,0.0,4
2753,1238.9,201.6,550765.17,1.18,4.57,0.0,2
2754,1166.05,181.95,550973.54,1.06,5.27,0.0,3
2755,1194.3,264.66,551169.25,1.63,4.5,0.0,5
2756,1160.38,203.05,551366.75,1.45,5.35,0.0,5
2757,1275.1,120.72,551566.36,1.24,4.56,0.0,1
2758,1110.09,115.06,551779.46,1.81,3.87,0.0,1
2759,1283.75,259.47,551979.54,1.48,3.74,0.0,5
2760,1396.09,168.41,552183.56,1.57,4.8,0.0,5
2761,1247.28,178.43,552393.16,1.19,5.12,0.0,5
2762,1147.29,297.86,552596.18,1.95,4.36,0.0,1
2763,1146.37,135.55,552788.07,1.48,4.59,0.0,3
2764,1320.98,114.97,552980.37,1.3,4.96,0.0,3
2765,1087.34,180.21,553186.45,1.4,5.06,0.0,5
2766,1104.62,271.73,553386.2,1.61,4.46,0.0,0
2767,1083.56,120.37,553589.55,1.24,4.25,0.0,2
2768,1072.15,220.58,553779.16,1.36,4.56,0.0,4
2769,1095.52,119.59,553980.36,1.45,4.2,0.0,2
2770,1278.99,201.0,554179.53,1.32,4.91,0.0,4
2771,1310.23,134.94,554381.97,1.43,4.48,0.0,5
2772,1130.29,117.31,554590.28,1.66,5.01,0.0,3
2773,1220.73,190.76,554786.69,1.55,5.38,0.0,2
2774,1275.92,208.46,554974.71,1.79,5.49,0.0,4
2775,1210.06,264.57,555183.37,1.66,5.0,0.0,4
2776,1104.51,215.28,555380.7,1.62,4.86,0.0,1
2777,1052.96,217.27,555580.33,1.65,4.9,0.0,4
2778,1301.04,163.56,555778.86,1.3,5.16,0.0,5
2779,1249.62,159.49,555971.47,1.57,5.19,0.0,2
2780,1257.7,159.77,556173.89,2.05,4.75,0.0,0
2781,1089.24,109.43,556375.73,1.28,5.37,0.0,4
2782,1223.5,156.6,556580.64,1.53,5.05,0.0,3
2783,1262.9,258.4,556783.46,1.56,5.12,0.0,3
2784,1231.4,258.63,556983.21,1.37,4.52,0.0,2
2785,1125.5,248.87,557184.73,1.57,5.24,0.0,1
2786,1301.23,228.46,557389.61,1.34,4.45,0.0,3
2787,1047.24,275.63,557588.58,1.3,4.34,0.0,5
2788,1292.87,273.09,557788.88,1.58,4.99,0.0,0
2789,1308.11,176.47,557988.77,1.68,4.95,0.0,3
2790,1357.23,233.05,558191.05,1.14,5.08,0.0,3
2791,1165.75,277.07,558387.31,1.56,4.98,0.0,5
2792,1100.06,247.97,558589.5,1.32,5.27,0.0,3
2793,1279.39,285.03,558797.39,1.86,5.54,0.0,0
2794,1130.08,295.46,559003.7,1.7,5.15,0.0,3
2795,1204.4,201.57,559206.53,1.44,5.46,0.0,1
2796,1168.25,219.31,559414.16,1.63,4.34,0.0,0
2797,1109.79,191.6,559614.24,1.51,4.78,0.0,3
2798,1232.1,187.1,559810.08,1.6,4.77,0.0,4
2799,1060.8,117.97,560009.84,1.23,4.43,0.0,4
2800,1259.22,173.47,560207.71,1.54,4.59,0.0,3
2801,1103.31,189.47,560413.89,1.21,4.57,0.0,3
2802,1026.83,219.31,560614.33,1.26,6.19,0.0,2
2803,1194.99,125.24,560816.44,1.71,4.5,0.0,0
2804,1243.16,296.27,561016.81,1.7,5.42,0.0,5
2805,1257.69,172.31,561216.34,1.86,5.13,0.0,5
2806,1281.84,151.09,561413.58,1.09,5.41,0.0,5
2807,964.64,181.97,561610.9,1.37,4.54,0.0,5
2808,1099.49,195.94,561808.36,1.46,4.49,0.0,0
2809,1210.67,168.58,562008.93,1.32,4.51,0.0,4
2810,1351.9,253.8,562203.28,1.23,4.48,0.0,3
2811,1278.37,290.64,562399.59,1.46,4.66,0.0,5
2812,1390.13,144.58,562604.06,1.38,4.28,0.0,3
2813,1147.51,109.08,562800.74,1.32,5.38,0.0,3
2814,1227.44,213.2,563003.02,1.66,5.3,0.0,5
2815,1090.0,227.95,563199.82,1.37,4.93,0.0,0
2816,1159.56,271.15,563398.3,1.5,5.31,0.0,5
2817,1126.47,280.92,563592.3,1.58,5.4,0.0,2
2818,1136.6,102.23,563789.77,1.61,5.54,0.0,2
2819,1160.66,135.96,563992.68,1.37,6.02,0.0,1
2820,1200.27,165.23,564197.54,1.54,4.93,0.0,2
2821,1202.22,162.29,564394.55,1.52,4.09,0.0,4
2822,1254.35,198.64,564594.62,1.63,6.05,0.0,4
2823,1214.0,128.0,564782.16,1.54,5.27,0.0,0
2824,1165.6,269.38,564971.69,1.43,4.63,0.0,5
2825,1147.74,204.16,565177.93,1.48,4.24,0.0,5
2826,1169.29,296.39,565368.07,1.56,4.73,0.0,3
2827,1155.1,224.45,565561.18,1.87,4.23,0.0,5
2828,1249.1,181.53,565762.09,1.42,5.15,0.0,4
2829,1286.55,166.3,565968.46,1.43,4.44,0.0,0
2830,1327.4,273.08,566165.22,1.33,6.14,0.0,2
2831,1120.23,275.64,566377.96,1.71,4.77,0.0,1
2832,1246.94,148.71,566571.25,1.19,4.08,0.0,5
2833,1060.53,198.07,566772.23,1.76,4.92,0.0,5
2834,1237.32,186.42,566980.91,1.22,5.03,0.0,3
2835,1308.27,273.2,567181.6,1.47,4.76,0.0,0
2836,1185.04,145.65,567380.52,1.54,5.9,0.0,1
2837,1307.26,130.19,567587.69,1.49,5.67,0.0,5
2838,1086.14,189.83,567781.85,1.3,5.57,0.0,1
2839,1111.14,190.63,567993.26,1.61,4.84,0.0,5
2840,1186.42,159.53,568196.89,1.35,5.9,0.0,3
2841,1302.22,262.37,568388.69,1.92,4.89,0.0,4
2842,1158.26,264.11,568579.88,1.7,4.83,0.0,2
2843,1154.64,238.62,568786.12,1.45,4.74,0.0,0
2844,1100.84,290.54,568982.59,0.99,5.65,0.0,4
2845,1220.29,118.03,569184.87,1.46,4.61,0.0,2
2846,1324.67,289.05,569389.92,1.39,4.47,0.0,1
2847,1270.07,130.58,569593.07,1.08,4.89,0.0,4
2848,1269.67,244.79,569791.8,1.19,5.05,0.0,5
2849,1179.3,189.07,569995.83,1.1,4.09,0.0,3
2850,1143.67,205.15,570200.8,1.43,5.37,0.0,1
2851,1267.72,176.31,570397.25,1.72,5.35,0.0,3
2852,1196.81,171.54,570609.65,1.37,5.49,0.0,5
2853,1182.64,220.44,570809.12,1.47,5.32,0.0,4
2854,1289.82,219.3,571016.43,1.79,5.74,0.0,3
2855,1180.22,242.76,571210.68,1.46,5.04,0.0,3
2856,1116.22,243.33,571422.09,1.57,5.25,0.0,3
2857,1290.92,105.95,571623.08,1.25,5.53,0.0,4
2858,1208.07,208.37,571812.88,1.4,5.35,0.0,3
2859,1096.3,233.16,572015.19,1.39,5.44,0.0,2
2860,1088.71,255.83,572212.93,1.37,4.51,0.0,2
2861,1209.54,277.73,572411.41,1.51,5.11,0.0,5
2862,1433.74,165.2,572614.54,1.22,4.72,0.0,1
2863,1160.72,178.76,572809.56,1.82,5.21,0.0,0
2864,1166.37,119.77,573010.48,1.7,5.6,0.0,2
2865,1352.38,188.91,573211.48,1.66,6.18,0.0,1
2866,1194.27,283.16,573418.47,1.32,5.44,0.0,0
2867,1055.15,159.05,573607.53,1.63,4.7,0.0,1
2868,1042.72,147.61,573789.9,1.59,4.63,0.0,0
2869,1322.67,133.03,573988.15,1.28,4.48,0.0,1
2870,1266.64,216.12,574188.95,1.83,5.46,0.0,0
2871,1282.61,204.68,574391.91,1.46,4.72,0.0,5
2872,1194.22,189.38,574595.39,1.9,4.95,0.0,0
2873,1127.33,153.49,574793.35,1.68,4.93,0.0,2
2874,1178.28,295.49,574993.88,1.35,5.03,0.0,2
2875,1213.6,132.17,575201.56,1.61,5.49,0.0,5
2876,1116.17,155.4,575395.47,1.68,5.15,0.0,4
2877,1256.14,162.81,575594.76,1.63,5.46,0.0,1
2878,1074.04,183.76,575792.9,1.5,4.77,0.0,2
2879,1166.72,136.05,575987.69,1.53,5.14,0.0,5
2880,1179.6,130.73,576187.16,1.36,4.87,0.0,4
2881,1130.9,148.46,576378.05,1.65,4.84,0.0,0
2882,979.45,204.93,576581.51,1.26,4.59,0.0,1
2883,1244.79,252.93,576781.74,1.44,4.95,0.0,2
2884,1124.42,155.52,576991.86,1.58,5.73,0.0,0
2885,1332.57,257.69,577201.07,1.61,5.71,0.0,2
2886,1165.8,113.44,577398.41,1.36,4.79,0.0,2
2887,1145.86,146.85,577607.43,1.19,4.07,0.0,2
2888,1209.15,184.39,577802.48,1.11,5.14,0.0,4
2889,1305.34,168.71,577998.55,1.16,4.75,0.0,0
2890,1143.66,155.41,578193.74,1.5,4.09,0.0,4
2891,1301.47,174.25,578401.53,1.4,5.1,0.0,3
2892,1344.03,265.02,578601.51,1.96,4.21,0.0,5
2893,1299.03,136.78,578809.51,1.58,5.12,0.0,3
2894,1362.64,187.54,579008.78,1.42,4.5,0.0,3
2895,1329.26,229.23,579214.86,1.21,4.88,0.0,5
2896,1351.49,182.8,579417.04,1.41,5.0,0.0,0
2897,1360.43,280.72,579617.2,1.51,5.04,0.0,0
2898,1220.81,119.92,579820.85,1.36,3.66,0.0,1
2899,1157.08,182.0,580018.0,1.83,5.79,0.0,1
2900,973.78,291.09,580217.07,1.24,4.71,0.0,5
2901,1067.73,193.2,580416.63,1.31,5.75,0.0,3
2902,1155.17,266.87,580618.89,1.33,4.53,0.0,4
2903,1161.83,113.69,580826.22,1.12,4.98,0.0,5
2904,1184.72,246.47,581024.96,1.65,4.89,0.0,3
2905,1099.92,155.66,581227.29,1.52,4.95,0.0,2
2906,1040.42,115.98,581434.51,1.25,4.91,0.0,2
2907,1186.98,226.45,581620.79,1.56,5.29,0.0,5
2908,1181.06,260.94,581822.73,1.56,4.42,0.0,3
2909,1119.24,126.29,582012.66,1.5,5.16,0.0,3
2910,1125.78,113.2,582221.09,1.4,3.96,0.0,5
2911,1105.98,285.95,582424.85,1.68,4.98,0.0,0
2912,1160.35,180.33,582629.93,1.14,5.07,0.0,0
2913,1114.37,141.89,582828.69,1.23,4.81,0.0,3
2914,1325.99,292.47,583032.48,1.46,5.61,0.0,4
2915,1224.1,287.29,583235.36,1.54,5.8,0.0,1
2916,1102.77,154.14,583441.54,1.5,5.2,0.0,1
2917,1171.96,138.32,583646.03,1.54,5.53,0.0,4
2918,1081.97,125.11,583852.51,1.5,5.05,0.0,4
2919,1301.22,181.82,584049.22,1.76,5.49,0.0,2
2920,1338.42,254.7,584256.56,1.47,5.26,0.0,3
2921,1325.2,169.43,584460.49,1.81,4.49,0.0,3
2922,1085.53,149.81,584662.36,1.62,5.08,0.0,5
2923,1190.87,256.18,584865.46,1.29,5.46,0.0,5
