machineID,spindle_speed [RPM],feed_rate [mm/rev],depth_of_cut [mm],tool_wear [mm],vibration_level [m/s²],cutting_force [N],failure_type
2197,734.82,0.16,1.49,0.0,1.22,547.44,3
2198,803.16,0.3,1.28,0.0,1.21,514.02,1
2199,806.42,0.18,1.4,0.0,1.27,564.49,4
2200,794.67,0.22,1.63,0.0,1.29,647.66,1
2201,838.83,0.34,2.98,0.0,1.23,1249.86,0
2202,798.26,0.24,2.5,0.0,1.16,997.82,1
2203,738.28,0.43,1.49,0.0,1.35,550.02,5
2204,821.36,0.38,1.43,0.0,1.47,587.27,2
2205,532.4,0.17,1.56,0.0,1.02,415.27,3
2206,703.78,0.37,1.62,0.0,1.34,570.06,4
2207,783.13,0.4,2.0,0.0,1.17,783.13,3
2208,860.77,0.43,1.23,0.0,1.43,529.37,5
2209,857.15,0.33,1.79,0.0,1.27,767.15,1
2210,927.8,0.14,1.94,0.0,1.25,899.97,3
2211,916.54,0.11,1.52,0.0,1.24,696.57,5
2212,820.2,0.36,1.16,0.0,1.05,475.72,3
2213,813.97,0.33,1.78,0.0,1.22,724.43,0
2214,854.09,0.26,1.78,0.0,1.02,760.14,5
2215,747.86,0.47,2.75,0.0,1.2,1028.31,2
2216,753.85,0.24,2.79,0.0,1.16,1051.62,3
2217,820.04,0.34,2.43,0.0,1.3,996.35,0
2218,688.9,0.33,1.88,0.0,1.15,647.57,0
2219,817.66,0.3,2.17,0.41,1.19,887.16,0
2220,824.91,0.47,2.25,0.36,1.36,928.02,5
2221,943.36,0.24,1.94,0.0,1.12,915.06,5
2222,674.13,0.35,1.89,1.31,1.14,637.05,5
2223,737.98,0.37,1.9,1.43,1.09,701.08,0
2224,920.23,0.41,2.17,1.29,1.28,998.45,1
2225,738.71,0.43,1.83,0.96,1.21,675.92,0
2226,828.82,0.16,1.66,2.0,1.3,687.92,0
2227,725.89,0.27,2.25,1.92,1.23,816.63,4
2228,928.85,0.2,2.42,2.45,1.21,1123.91,0
2229,664.29,0.2,3.06,0.0,1.11,1016.36,1
2230,744.9,0.47,2.28,0.0,1.22,849.19,1
2231,717.29,0.26,2.18,0.32,1.25,781.85,5
2232,920.06,0.14,2.22,3.36,1.22,1021.27,2
2233,808.03,0.27,3.13,3.4,1.21,1264.57,1
2234,618.6,0.31,1.95,2.96,1.09,603.14,5
2235,963.67,0.48,2.33,2.4,1.22,1122.68,1
2236,645.62,0.35,1.57,1.53,1.06,506.81,5
2237,819.04,0.16,2.44,0.81,1.44,999.23,4
2238,886.85,0.28,2.16,2.36,1.12,957.8,5
2239,740.91,0.12,2.35,2.0,1.17,870.57,2
2240,723.92,0.12,1.38,3.17,1.29,499.5,4
2241,663.47,0.32,1.22,2.0,1.04,404.72,1
2242,632.85,0.29,1.68,2.44,1.22,531.59,3
2243,1051.96,0.3,2.69,2.39,1.2,1414.89,3
2244,901.9,0.14,1.84,4.48,1.35,829.75,5
2245,922.09,0.37,1.89,3.47,1.25,871.38,0
2246,620.25,0.17,2.61,2.61,1.27,809.43,2
2247,739.3,0.22,2.71,3.88,1.08,1001.75,0
2248,655.43,0.26,1.99,3.93,1.41,652.15,3
2249,871.51,0.21,2.12,3.97,1.18,923.8,5
2250,977.52,0.26,2.16,5.61,1.36,1055.72,1
2251,730.5,0.45,1.58,6.53,1.29,577.1,2
2252,719.97,0.29,2.59,7.64,1.21,932.36,4
2253,935.13,0.46,2.31,6.44,1.16,1080.08,4
2254,679.88,0.31,1.54,6.49,1.29,523.51,0
2255,860.86,0.26,1.34,5.68,1.23,576.78,4
2256,743.16,0.47,2.85,5.69,1.26,1059.0,2
2257,872.45,0.12,1.24,5.47,1.15,540.92,4
2258,746.13,0.29,1.7,3.93,1.23,634.21,2
2259,637.99,0.43,2.45,4.6,1.2,781.54,0
2260,815.87,0.26,2.84,4.07,1.15,1158.54,3
2261,644.77,0.21,2.35,4.63,1.08,757.6,2
2262,842.84,0.44,1.98,3.89,1.28,834.41,3
2263,989.99,0.5,2.41,2.73,1.24,1192.94,2
2264,928.15,0.33,1.54,4.56,1.02,714.68,4
2265,658.17,0.43,2.21,4.25,1.04,727.28,2
2266,633.41,0.46,2.49,5.12,1.14,788.6,4
2267,537.03,0.31,1.86,2.77,1.15,499.44,4
2268,692.16,0.4,1.42,2.13,1.25,491.43,1
2269,644.24,0.36,2.0,2.81,1.28,644.24,2
2270,698.01,0.16,2.2,3.07,1.18,767.81,3
2271,994.86,0.36,2.33,4.44,1.05,1159.01,5
2272,835.77,0.41,2.04,3.55,1.11,852.49,5
2273,809.9,0.25,2.51,3.83,1.26,1016.42,2
2274,728.18,0.12,2.01,3.75,1.1,731.82,2
2275,811.57,0.32,1.18,4.68,1.4,478.83,3
2276,850.4,0.4,2.17,4.89,1.15,922.68,4
2277,813.84,0.43,1.41,5.11,1.13,573.76,5
2278,887.14,0.36,1.73,5.33,1.27,767.38,2
2279,894.96,0.37,2.01,6.51,1.35,899.43,4
2280,731.37,0.16,1.28,6.75,1.35,468.08,2
2281,691.28,0.11,1.45,7.36,1.16,501.18,5
2282,931.83,0.42,2.56,8.42,1.31,1192.74,5
2283,656.21,0.29,2.36,9.15,1.12,774.33,1
2284,835.82,0.24,2.29,8.49,1.25,957.01,5
2285,828.26,0.34,2.5,9.21,1.09,1035.32,4
2286,966.1,0.38,2.92,8.18,1.23,1410.51,3
2287,726.04,0.11,2.27,7.23,1.16,824.06,0
2288,652.18,0.48,2.33,6.95,1.23,759.79,0
2289,952.49,0.29,2.45,6.7,1.18,1166.8,1
2290,711.62,0.49,2.34,5.64,1.19,832.6,0
2291,563.51,0.27,2.81,4.99,1.34,791.73,2
2292,666.91,0.38,1.66,5.01,1.1,553.54,0
2293,794.87,0.47,0.81,3.38,1.26,321.92,4
2294,923.29,0.2,1.52,3.53,1.2,701.7,1
2295,849.98,0.44,1.78,2.43,1.35,756.48,0
2296,789.42,0.12,1.21,1.18,1.27,477.6,4
2297,717.91,0.34,2.43,0.77,1.06,872.26,0
2298,804.75,0.36,2.2,0.49,1.2,885.22,4
2299,864.28,0.48,2.7,0.71,1.17,1166.78,1
2300,720.06,0.1,2.26,0.92,1.3,813.67,4
2301,822.88,0.36,2.72,2.32,1.26,1119.12,0
2302,973.96,0.44,1.84,2.19,1.24,896.04,0
2303,781.84,0.16,2.84,1.91,1.17,1110.21,2
2304,772.23,0.27,1.81,0.02,1.16,698.87,0
2305,775.35,0.24,2.59,0.0,1.21,1004.08,0
2306,821.12,0.22,2.18,0.0,1.2,895.02,1
2307,735.3,0.15,2.16,0.0,1.26,794.12,5
2308,889.0,0.26,1.53,1.15,1.16,680.08,3
2309,845.0,0.14,1.41,1.94,1.29,595.72,4
2310,872.38,0.21,2.32,2.42,0.93,1011.96,5
2311,759.59,0.48,1.33,2.85,1.09,505.13,5
2312,886.0,0.42,2.44,2.45,0.98,1080.92,3
2313,965.63,0.49,2.88,1.73,1.1,1390.51,5
2314,779.23,0.42,1.61,1.61,1.05,627.28,3
2315,770.07,0.3,1.7,2.84,1.21,654.56,5
2316,794.37,0.18,1.39,2.36,1.2,552.09,1
2317,733.57,0.16,2.55,4.21,1.29,935.3,0
2318,771.29,0.37,1.8,4.13,1.01,694.16,2
2319,917.06,0.22,2.95,5.1,1.29,1352.66,4
2320,830.05,0.13,1.55,4.07,1.36,643.29,3
2321,767.18,0.39,2.39,5.99,1.25,916.78,1
2322,756.78,0.4,1.93,4.91,1.36,730.29,5
2323,708.83,0.23,2.28,4.77,1.18,808.07,1
2324,886.52,0.43,2.11,6.14,1.21,935.28,1
2325,712.38,0.25,2.46,6.55,1.37,876.23,2
2326,801.66,0.43,1.04,5.44,1.14,416.86,3
2327,807.05,0.23,1.11,6.05,1.17,447.91,5
2328,629.7,0.24,3.27,6.72,1.32,1029.56,3
2329,772.59,0.18,1.12,5.78,1.3,432.65,1
2330,840.84,0.32,2.1,5.25,1.35,882.88,2
2331,577.16,0.36,1.85,4.33,1.15,533.87,4
2332,664.22,0.49,1.61,4.96,1.24,534.7,3
2333,798.59,0.28,2.05,3.5,1.28,818.55,2
2334,765.02,0.33,1.2,4.73,0.94,459.01,0
2335,832.68,0.5,2.47,4.56,1.07,1028.36,3
2336,908.41,0.31,2.59,3.63,1.2,1176.39,0
2337,794.19,0.39,1.16,3.11,1.31,460.63,0
2338,826.92,0.18,2.79,4.12,1.06,1153.55,1
2339,820.2,0.31,2.47,4.5,1.33,1012.95,4
2340,576.4,0.42,2.31,3.8,1.17,665.74,3
2341,750.5,0.32,1.76,4.24,1.23,660.44,2
2342,773.31,0.24,2.18,4.19,1.23,842.91,4
2343,886.09,0.25,2.84,3.85,1.17,1258.25,5
2344,745.04,0.32,1.36,4.53,1.18,506.63,0
2345,849.19,0.19,2.1,5.36,1.28,891.65,0
2346,854.11,0.15,2.23,3.87,1.06,952.33,2
2347,667.6,0.43,1.4,4.6,1.1,467.32,4
2348,620.93,0.46,1.93,4.01,1.24,599.2,4
2349,908.25,0.36,2.01,3.91,1.27,912.79,5
2350,715.71,0.13,2.58,4.09,1.28,923.27,3
2351,900.4,0.36,2.53,5.11,1.19,1139.01,4
2352,805.46,0.35,1.87,4.99,1.17,753.11,0
2353,866.51,0.12,2.26,4.48,1.16,979.16,1
2354,603.74,0.21,1.86,5.07,1.24,561.48,2
2355,1011.27,0.23,1.77,5.61,0.92,894.97,5
2356,519.25,0.15,2.05,4.46,1.24,532.23,5
2357,660.32,0.37,2.8,4.98,1.34,924.45,2
2358,826.41,0.21,1.49,4.85,1.17,615.68,0
2359,909.25,0.18,2.12,6.51,1.37,963.8,4
2360,866.46,0.16,2.24,6.67,1.17,970.44,4
2361,885.66,0.17,1.44,7.3,1.29,637.68,4
2362,689.42,0.2,1.92,9.08,1.2,661.84,3
2363,837.16,0.37,1.49,10.29,1.14,623.68,2
2364,934.4,0.49,2.37,10.27,1.36,1107.26,3
2365,635.79,0.34,2.1,10.71,1.17,667.58,5
2366,684.69,0.34,0.87,10.8,1.28,297.84,3
2367,820.13,0.11,1.37,10.24,1.15,561.79,0
2368,939.86,0.37,2.18,10.27,1.23,1024.45,5
2369,872.29,0.32,2.31,10.21,1.25,1007.49,1
2370,692.83,0.28,2.28,9.92,1.29,789.83,5
2371,743.27,0.33,1.46,10.21,1.19,542.59,0
2372,763.37,0.45,2.93,9.99,1.25,1118.34,2
2373,645.4,0.22,2.09,9.85,1.29,674.44,5
2374,1004.07,0.43,2.09,9.02,1.29,1049.25,0
2375,750.4,0.28,1.51,9.33,1.25,566.55,3
2376,738.68,0.25,1.79,10.41,1.07,661.12,2
2377,625.5,0.42,1.88,8.46,0.98,587.97,2
2378,818.41,0.48,2.15,7.69,1.24,879.79,5
2379,792.05,0.41,2.02,9.04,1.06,799.97,3
2380,924.06,0.16,1.64,8.35,1.24,757.73,5
2381,886.26,0.24,2.66,8.49,1.23,1178.73,5
2382,787.61,0.37,1.91,7.98,1.19,752.17,2
2383,858.55,0.28,1.69,8.49,1.19,725.47,3
2384,993.37,0.2,2.33,8.38,1.16,1157.28,1
2385,726.77,0.34,1.15,6.2,1.19,417.89,0
2386,760.79,0.35,2.64,7.19,1.23,1004.24,2
2387,875.12,0.35,2.27,6.95,1.1,993.26,4
2388,740.53,0.26,1.86,7.2,1.24,688.69,0
2389,847.53,0.2,2.36,6.61,1.29,1000.09,5
2390,691.64,0.41,2.02,7.03,1.1,698.56,5
2391,882.28,0.19,1.93,8.11,1.15,851.4,1
2392,870.48,0.2,2.19,8.37,1.21,953.18,4
2393,741.46,0.25,1.71,7.66,1.28,633.95,2
2394,673.01,0.16,1.82,7.99,1.14,612.44,4
2395,832.55,0.35,2.19,7.67,1.38,911.64,0
2396,804.57,0.4,2.28,7.45,1.28,917.21,4
2397,663.38,0.36,1.64,6.2,1.03,543.97,5
2398,902.03,0.25,2.03,5.19,1.21,915.56,5
2399,726.89,0.35,2.52,4.94,1.03,915.88,2
2400,949.67,0.43,1.21,5.24,1.12,574.55,1
2401,934.33,0.23,1.69,5.02,1.09,789.51,1
2402,825.66,0.37,1.54,4.65,1.09,635.76,4
2403,873.46,0.36,1.58,4.91,1.18,690.03,4
2404,656.67,0.12,1.44,5.82,1.23,472.8,4
2405,801.78,0.5,2.01,4.01,1.06,805.79,5
2406,856.86,0.38,2.72,3.22,1.16,1165.33,2
2407,673.6,0.12,1.93,2.72,1.35,650.02,4
2408,654.1,0.49,1.57,2.75,1.15,513.47,5
2409,959.07,0.48,2.32,2.91,1.26,1112.52,3
2410,840.26,0.35,2.14,2.02,1.27,899.08,5
2411,942.49,0.1,2.1,0.94,1.17,989.61,3
2412,900.2,0.15,3.0,0.13,1.24,1350.3,1
2413,518.07,0.37,1.64,0.81,1.17,424.82,2
2414,687.71,0.5,2.29,1.07,0.93,787.43,3
2415,784.77,0.15,2.12,0.66,1.17,831.86,1
2416,805.57,0.29,2.64,1.14,1.2,1063.35,0
2417,813.79,0.34,2.78,1.9,1.07,1131.17,4
2418,732.49,0.11,2.96,2.14,1.21,1084.09,0
2419,791.14,0.33,1.64,2.26,1.24,648.73,2
2420,698.49,0.42,2.67,0.9,1.28,932.48,1
2421,928.61,0.37,1.41,1.17,1.06,654.67,1
2422,702.92,0.42,1.72,0.27,1.26,604.51,0
2423,742.22,0.39,2.16,0.0,1.33,801.6,5
2424,889.17,0.28,2.24,0.0,1.26,995.87,4
2425,743.74,0.29,2.56,0.0,1.25,951.99,3
2426,817.65,0.28,1.4,0.0,1.3,572.35,2
2427,709.45,0.11,2.48,0.0,1.24,879.72,2
2428,796.31,0.21,2.83,0.0,1.13,1126.78,2
2429,840.95,0.37,2.11,0.0,1.24,887.2,3
2430,647.02,0.34,2.5,0.0,1.44,808.78,1
2431,632.14,0.28,2.11,0.0,1.24,666.91,0
2432,683.27,0.19,1.83,0.43,1.05,625.19,2
2433,882.6,0.45,2.16,0.0,1.39,953.21,0
2434,854.71,0.49,1.07,0.84,1.11,457.27,5
2435,883.3,0.29,2.13,2.64,1.12,940.71,0
2436,949.14,0.27,2.12,3.12,1.26,1006.09,0
2437,759.83,0.28,2.03,3.71,1.2,771.23,1
2438,727.25,0.44,2.28,3.76,1.16,829.06,5
2439,788.25,0.19,2.19,3.87,1.18,863.13,5
2440,824.18,0.12,1.67,3.78,1.08,688.19,1
2441,909.89,0.16,2.53,4.08,1.22,1151.01,4
2442,813.3,0.34,1.73,2.56,1.26,703.5,0
2443,856.96,0.28,1.17,3.13,0.99,501.32,3
2444,740.7,0.12,1.66,3.35,1.25,614.78,1
2445,640.72,0.36,1.72,4.26,1.2,551.02,3
2446,988.22,0.37,1.55,3.89,1.35,765.87,0
2447,816.08,0.46,2.4,3.93,1.16,979.3,1
2448,764.13,0.18,1.9,2.25,1.12,725.92,0
2449,814.1,0.37,2.96,3.32,1.04,1204.87,0
2450,1026.66,0.36,2.32,3.46,1.27,1190.93,1
2451,754.13,0.44,2.43,3.87,1.17,916.27,3
2452,756.34,0.11,2.12,3.22,1.2,801.72,5
2453,727.42,0.42,1.63,4.43,1.11,592.85,4
2454,760.77,0.35,1.97,3.27,1.2,749.36,0
2455,601.66,0.39,1.64,2.65,1.23,493.36,2
2456,928.72,0.12,2.17,3.86,1.2,1007.66,0
2457,802.59,0.11,2.39,1.6,1.2,959.1,1
2458,712.21,0.22,2.6,2.15,1.16,925.87,5
2459,911.94,0.25,1.31,1.54,1.05,597.32,4
2460,763.18,0.28,1.46,1.01,1.23,557.12,2
2461,947.87,0.35,1.46,2.29,1.19,691.95,0
2462,781.96,0.35,1.67,3.41,1.21,652.94,4
2463,795.74,0.15,1.82,2.56,1.19,724.12,2
2464,831.03,0.42,2.01,1.95,1.2,835.19,4
2465,858.94,0.4,2.02,2.83,1.29,867.53,5
2466,737.61,0.14,2.43,1.46,1.24,896.2,5
2467,739.67,0.32,2.14,2.18,1.2,791.45,3
2468,821.32,0.39,1.59,3.16,1.08,652.95,5
2469,609.61,0.42,2.54,2.55,1.14,774.2,3
2470,513.58,0.49,1.84,3.73,1.11,472.49,5
2471,792.76,0.12,2.05,2.83,1.21,812.58,5
2472,815.03,0.49,1.93,1.82,1.07,786.5,1
2473,915.82,0.27,2.43,2.29,1.21,1112.72,3
2474,789.35,0.25,1.72,3.03,1.21,678.84,1
2475,914.13,0.23,2.52,4.27,1.17,1151.8,0
2476,939.48,0.2,2.16,4.65,1.18,1014.64,1
2477,812.22,0.4,1.74,3.43,1.26,706.63,0
2478,738.58,0.17,2.22,3.83,1.08,819.82,5
2479,705.33,0.41,2.36,3.13,1.1,832.29,3
2480,782.11,0.4,2.31,2.72,1.19,903.34,0
2481,658.4,0.35,3.42,2.52,1.05,1125.86,0
2482,823.62,0.4,2.04,2.81,1.2,840.09,2
2483,880.47,0.14,1.77,2.47,1.26,779.22,1
2484,740.24,0.48,2.5,3.22,1.11,925.3,2
2485,898.19,0.41,1.61,1.99,1.19,723.04,3
2486,713.95,0.25,1.94,1.8,1.34,692.53,1
2487,806.31,0.23,0.68,3.01,1.31,274.15,5
2488,822.55,0.14,2.14,3.29,1.32,880.13,2
2489,605.59,0.44,1.76,2.5,1.2,532.92,4
2490,772.96,0.19,2.47,3.41,1.37,954.61,1
2491,892.78,0.21,1.67,3.36,1.06,745.47,2
2492,916.97,0.15,2.71,3.88,1.18,1242.49,5
2493,927.6,0.33,2.74,3.3,1.07,1270.81,3
2494,729.25,0.13,1.5,2.71,1.08,546.94,5
2495,815.24,0.21,1.34,1.33,1.35,546.21,2
2496,641.62,0.47,2.36,0.8,1.06,757.11,3
2497,871.18,0.19,2.23,0.21,1.11,971.37,1
2498,801.86,0.17,1.55,0.0,1.41,621.44,1
2499,889.76,0.39,1.99,0.0,1.17,885.31,4
2500,669.48,0.44,1.92,0.0,1.14,642.7,3
2501,934.87,0.28,1.72,2.16,1.0,803.99,0
2502,806.66,0.38,1.98,1.68,1.27,798.59,3
2503,665.81,0.21,2.55,1.69,1.23,848.91,4
2504,876.58,0.46,1.55,2.69,1.11,679.35,5
2505,1018.28,0.17,1.29,1.6,1.1,656.79,2
2506,828.96,0.25,2.4,2.27,1.19,994.75,1
2507,827.37,0.44,1.63,0.0,1.12,674.31,0
2508,639.84,0.41,1.38,0.18,1.17,441.49,2
2509,778.8,0.23,2.34,0.0,1.3,911.2,5
2510,899.64,0.19,1.55,0.0,1.25,697.22,4
2511,827.33,0.38,2.14,0.0,1.17,885.24,3
2512,784.5,0.42,1.95,0.44,1.2,764.89,4
2513,729.12,0.43,1.98,0.0,1.23,721.83,4
2514,992.93,0.2,1.97,0.0,1.12,978.04,3
2515,745.19,0.23,1.17,0.0,1.1,435.94,4
2516,633.51,0.37,1.89,0.0,1.25,598.67,0
2517,822.85,0.46,2.39,0.0,1.05,983.31,0
2518,768.58,0.15,3.28,0.0,1.23,1260.47,3
2519,759.37,0.12,2.23,0.0,1.26,846.7,4
2520,720.63,0.39,2.65,0.0,1.09,954.83,5
2521,712.83,0.49,1.66,0.0,1.16,591.65,2
2522,685.64,0.14,1.95,0.0,1.0,668.5,2
2523,902.7,0.31,1.6,0.0,1.17,722.16,2
2524,698.83,0.24,1.94,0.0,1.03,677.87,3
2525,708.23,0.14,0.43,0.0,1.2,152.27,2
2526,819.96,0.27,2.33,0.0,1.12,955.25,0
2527,869.57,0.13,2.09,0.0,1.12,908.7,0
2528,834.32,0.17,2.02,0.0,1.13,842.66,1
2529,768.94,0.34,1.78,0.0,1.12,684.36,3
2530,732.83,0.4,1.75,0.0,1.18,641.23,3
2531,806.79,0.42,2.37,0.0,1.13,956.05,4
2532,751.07,0.46,2.31,0.0,1.23,867.49,2
2533,775.36,0.28,1.98,0.0,1.07,767.61,4
2534,891.69,0.36,1.48,0.0,1.04,659.85,5
2535,792.18,0.41,2.27,0.0,1.17,899.12,4
2536,884.32,0.5,2.37,0.0,1.07,1047.92,0
2537,740.45,0.46,1.21,0.0,1.28,447.97,1
2538,767.31,0.43,1.28,0.0,1.07,491.08,2
2539,801.16,0.18,2.01,0.0,1.18,805.17,0
2540,833.75,0.26,2.41,0.0,1.41,1004.67,4
2541,686.45,0.3,2.53,0.0,1.28,868.36,5
2542,701.32,0.27,1.7,0.0,1.19,596.12,1
2543,981.89,0.2,2.01,0.0,1.11,986.8,1
2544,827.77,0.12,2.76,0.0,1.21,1142.32,2
2545,745.59,0.32,1.35,0.0,1.25,503.27,2
2546,635.89,0.35,1.56,0.0,1.12,495.99,3
2547,739.64,0.42,1.94,0.0,1.36,717.45,0
2548,901.57,0.49,2.79,0.0,1.07,1257.69,0
2549,933.22,0.14,2.59,0.0,1.02,1208.52,4
2550,682.2,0.21,2.08,0.0,1.31,709.49,5
2551,802.6,0.17,2.2,0.0,1.23,882.86,3
2552,864.26,0.38,2.8,0.0,1.19,1209.96,0
2553,871.58,0.42,1.59,0.0,1.2,692.91,0
2554,818.08,0.25,1.34,0.0,1.2,548.11,5
2555,801.23,0.18,2.17,0.0,1.15,869.33,2
2556,841.33,0.27,1.68,0.0,1.32,706.72,0
2557,744.58,0.2,2.69,0.0,1.38,1001.46,1
2558,832.32,0.12,2.42,0.0,1.14,1007.11,5
2559,873.63,0.46,2.49,0.0,1.2,1087.67,5
2560,766.09,0.4,2.55,0.0,1.18,976.76,1
2561,931.57,0.37,1.79,0.0,1.09,833.76,1
2562,897.98,0.34,1.95,0.0,1.16,875.53,4
2563,747.85,0.42,2.1,0.0,1.12,785.24,4
2564,750.77,0.24,2.12,0.0,1.2,795.82,5
2565,822.5,0.45,2.03,0.0,1.36,834.84,0
2566,839.47,0.25,2.04,0.0,1.2,856.26,3
2567,846.74,0.3,2.69,0.0,1.05,1138.87,2
2568,820.82,0.26,1.89,0.0,1.24,775.67,3
2569,785.69,0.15,1.73,0.0,1.2,679.62,5
2570,1024.98,0.14,0.95,0.0,1.13,486.87,4
2571,992.2,0.1,1.99,0.0,1.1,987.24,2
2572,851.79,0.4,2.46,0.0,1.23,1047.7,1
2573,855.45,0.21,2.04,0.0,1.09,872.56,3
2574,868.58,0.13,2.16,0.0,0.98,938.07,4
2575,915.13,0.14,2.68,0.0,1.25,1226.27,2
2576,841.75,0.28,2.23,0.0,1.16,938.55,0
2577,922.18,0.39,2.39,0.0,1.21,1102.01,2
2578,616.69,0.29,2.02,0.0,1.0,622.86,5
2579,732.9,0.42,1.66,0.0,1.15,608.31,5
2580,733.82,0.42,3.05,0.0,1.1,1119.08,5
2581,641.22,0.16,2.81,0.0,1.18,900.91,3
2582,759.8,0.15,2.43,0.0,1.22,923.16,2
2583,740.58,0.47,2.0,0.0,1.25,740.58,4
2584,708.35,0.22,2.18,0.0,1.13,772.1,1
2585,693.69,0.31,2.93,0.0,1.28,1016.26,4
2586,853.21,0.21,2.21,0.0,1.28,942.8,3
2587,712.19,0.44,3.04,0.0,1.23,1082.53,1
2588,851.29,0.32,2.15,0.0,1.06,915.14,5
2589,713.86,0.11,1.56,0.0,1.27,556.81,0
2590,811.83,0.39,2.54,0.0,0.9,1031.02,0
2591,662.73,0.23,1.83,0.0,1.16,606.4,1
2592,621.34,0.41,2.71,0.0,1.16,841.92,3
2593,839.77,0.5,1.45,0.0,1.39,608.83,3
2594,792.17,0.36,1.61,0.0,1.09,637.7,0
2595,1024.97,0.35,1.51,0.0,1.19,773.85,3
2596,861.89,0.22,2.08,0.0,1.18,896.37,5
2597,846.36,0.18,2.15,0.0,1.25,909.84,5
2598,830.99,0.19,2.45,0.0,1.21,1017.96,1
2599,757.24,0.39,1.57,0.0,1.39,594.43,4
2600,864.99,0.46,2.53,0.0,1.18,1094.21,2
2601,764.27,0.44,1.17,0.0,1.37,447.1,2
2602,857.97,0.42,1.76,0.0,1.29,755.01,1
2603,745.35,0.22,1.1,0.0,1.32,409.94,5
2604,927.01,0.42,2.2,0.0,1.0,1019.71,5
2605,813.34,0.35,0.86,0.0,1.06,349.74,4
2606,783.01,0.41,1.86,0.0,1.21,728.2,0
2607,851.05,0.15,1.92,0.0,1.21,817.01,4
2608,757.15,0.48,2.19,0.0,1.16,829.08,3
2609,626.09,0.33,1.94,0.0,1.25,607.31,2
2610,784.23,0.37,1.51,0.0,1.23,592.09,4
2611,892.67,0.41,2.85,0.0,0.97,1272.05,5
2612,728.89,0.18,1.72,0.0,1.32,626.85,1
2613,887.79,0.22,2.11,0.0,1.19,936.62,2
2614,884.39,0.19,1.57,0.0,1.28,694.25,5
2615,857.72,0.4,2.45,0.0,1.19,1050.71,1
2616,629.36,0.48,1.27,0.0,1.21,399.64,5
2617,1075.05,0.33,2.4,0.0,1.27,1290.06,1
2618,946.11,0.34,1.86,0.0,1.2,879.88,3
2619,814.57,0.37,2.24,0.0,1.27,912.32,1
2620,722.21,0.32,2.07,0.0,1.08,747.49,0
2621,697.16,0.19,2.19,0.0,1.04,763.39,2
2622,641.79,0.37,2.24,0.0,1.22,718.8,0
2623,767.09,0.12,2.41,0.0,1.19,924.34,0
2624,910.85,0.12,2.52,0.0,1.16,1147.67,0
2625,673.55,0.44,0.77,0.0,1.25,259.32,1
2626,781.74,0.24,2.73,0.0,1.3,1067.08,1
2627,876.28,0.17,0.97,0.0,1.24,425.0,5
2628,900.97,0.36,1.23,0.0,1.08,554.1,1
2629,830.98,0.34,2.44,0.0,1.18,1013.8,4
2630,725.46,0.35,1.46,0.0,1.15,529.59,0
2631,993.43,0.23,2.15,0.0,1.27,1067.94,5
2632,859.52,0.23,2.17,0.0,1.23,932.58,1
2633,857.61,0.17,1.31,0.0,1.08,561.73,1
2634,898.42,0.12,1.59,0.0,1.18,714.24,3
2635,731.04,0.28,1.81,0.0,1.08,661.59,2
2636,689.27,0.38,1.53,0.0,1.51,527.29,5
2637,694.9,0.19,1.46,0.0,1.32,507.28,1
2638,951.85,0.29,2.56,0.0,0.98,1218.37,2
2639,846.26,0.3,2.22,0.0,1.14,939.35,5
2640,665.25,0.14,2.6,0.0,1.21,864.82,3
2641,684.0,0.48,1.34,0.0,1.42,458.28,4
2642,804.6,0.4,1.45,0.0,1.12,583.34,4
2643,671.73,0.18,2.41,0.0,1.14,809.43,3
2644,781.97,0.33,1.54,0.0,1.14,602.12,2
2645,823.88,0.17,3.15,0.0,1.21,1297.61,3
2646,824.94,0.2,1.81,0.0,1.3,746.57,2
2647,905.22,0.23,1.88,0.0,1.17,850.91,2
2648,971.07,0.23,2.2,0.0,1.36,1068.18,3
2649,809.63,0.42,1.43,0.0,1.32,578.89,0
2650,823.64,0.4,1.75,0.0,1.28,720.68,3
2651,961.77,0.47,2.36,0.0,1.12,1134.89,2
2652,839.45,0.44,2.18,0.0,1.23,915.0,2
2653,824.86,0.33,1.62,0.0,1.09,668.14,1
2654,889.42,0.32,1.87,0.0,1.24,831.61,5
2655,819.98,0.18,2.12,0.0,1.31,869.18,1
2656,792.63,0.15,1.74,0.0,1.41,689.59,2
2657,910.3,0.43,2.19,0.0,1.16,996.78,5
2658,758.87,0.46,1.16,0.0,1.12,440.14,2
2659,781.76,0.37,1.4,0.0,1.06,547.23,3
2660,824.99,0.21,1.83,0.0,1.27,754.87,3
2661,899.02,0.45,2.21,0.0,1.01,993.42,5
2662,650.35,0.27,1.69,0.0,1.23,549.55,4
2663,937.48,0.37,1.92,0.0,1.09,899.98,1
2664,893.45,0.31,1.54,0.0,1.31,687.96,1
2665,697.26,0.48,1.5,0.0,1.2,522.94,5
2666,892.37,0.41,1.92,0.0,1.22,856.68,4
2667,744.6,0.26,1.97,0.0,1.12,733.43,1
2668,923.7,0.43,1.79,0.0,1.13,826.71,5
2669,799.13,0.39,2.5,0.0,1.22,998.91,2
2670,841.64,0.45,0.87,0.0,1.19,366.11,5
2671,670.63,0.18,2.18,0.0,1.02,730.99,5
2672,796.7,0.14,2.35,0.0,1.09,936.12,2
