machineID,injection_pressure [bar],melt_temperature [°C],clamping_force [ton],cycle_time [seconds],screw_speed [RPM],cooling_time [seconds],hydraulic_pressure [psi],failure_type
3029,94.24,210.74,53.08,29.16,126.16,18.63,2846.57,1
3030,115.77,219.0,58.65,36.58,120.2,22.95,2977.23,2
3031,107.63,208.45,39.89,34.56,135.78,23.47,3077.49,3
3032,101.46,211.85,55.42,28.54,101.08,21.7,2795.07,4
3033,114.88,184.51,46.55,33.52,68.94,19.67,3159.98,2
3034,108.4,213.24,49.67,28.26,62.84,19.05,3408.52,3
3035,87.44,180.49,50.68,29.68,60.46,19.0,2923.44,5
3036,112.37,191.92,51.51,31.71,75.38,18.94,3133.39,1
3037,95.91,210.91,53.78,26.96,149.36,21.77,2692.24,4
3038,86.82,195.55,46.26,25.34,104.93,18.09,2934.21,1
3039,102.9,206.34,49.24,28.95,111.75,17.85,2755.39,0
3040,96.9,219.42,57.07,29.94,124.65,18.75,2982.07,1
3041,92.56,180.44,40.73,34.67,149.67,20.81,2826.49,4
3042,115.84,200.96,50.15,32.71,98.8,18.77,2935.85,1
3043,100.6,215.56,46.48,23.15,80.57,23.72,2894.65,3
3044,99.48,192.38,43.35,32.55,114.6,21.21,3102.32,2
3045,97.49,205.88,45.84,28.85,86.74,18.99,2726.21,0
3046,96.07,202.76,42.53,29.38,68.04,20.47,2597.7,2
3047,101.89,208.94,40.42,34.63,84.58,19.77,3300.31,3
3048,96.79,216.32,57.58,32.52,116.37,20.77,3182.92,3
3049,132.38,215.28,48.35,32.53,128.32,18.9,3197.78,5
3050,89.46,217.24,39.74,30.65,85.39,21.95,3320.09,0
3051,101.17,212.14,47.88,29.62,100.23,19.21,3113.63,3
3052,95.3,201.23,48.46,31.7,97.68,17.67,2759.91,1
3053,92.97,201.36,54.25,30.43,83.95,18.42,3070.18,0
3054,93.32,195.34,47.26,25.63,87.37,17.65,3082.07,0
3055,100.28,189.56,47.59,30.34,78.68,17.67,2939.37,0
3056,109.31,207.12,51.56,27.89,99.91,21.61,2875.98,1
3057,111.95,194.71,51.89,31.06,130.86,21.0,2841.65,2
3058,106.97,202.28,49.63,23.08,76.37,18.64,2953.35,0
3059,95.76,204.18,49.96,28.09,132.84,22.41,3209.02,0
3060,119.22,197.37,51.54,29.83,121.14,22.2,3217.64,4
3061,117.78,200.95,40.0,29.13,115.33,19.4,3330.02,4
3062,117.63,195.28,49.2,25.99,112.41,17.32,3038.78,3
3063,95.29,214.11,44.89,31.94,92.7,18.82,2721.9,5
3064,106.21,215.82,57.89,26.55,108.43,18.72,3146.32,4
3065,107.1,202.18,56.45,32.04,51.37,15.05,2861.87,4
3066,105.85,216.28,56.24,30.43,58.26,19.58,3163.24,4
3067,105.69,182.53,46.77,28.35,140.23,20.56,3068.94,5
3068,105.49,183.81,50.71,31.85,108.49,20.26,2814.11,5
3069,96.98,202.09,54.3,37.02,112.27,18.23,3269.34,1
3070,112.07,219.42,55.6,27.92,51.92,18.96,3010.48,4
3071,113.78,215.15,48.82,27.23,59.54,19.45,3038.94,4
3072,106.36,204.76,51.58,26.24,133.17,20.25,3147.19,1
3073,100.55,197.43,48.63,30.48,133.02,17.25,3234.77,5
3074,104.06,199.69,53.7,30.44,105.74,20.27,2956.67,2
3075,112.48,196.13,42.37,32.26,52.92,21.21,3091.5,5
3076,98.73,215.06,40.69,34.96,93.32,17.29,3040.59,3
3077,106.99,209.03,53.26,29.85,137.98,19.02,3304.72,5
3078,92.65,181.53,50.21,28.82,95.51,17.97,3016.71,5
3079,103.79,216.63,48.3,26.04,55.14,18.23,2810.24,4
3080,87.25,188.53,59.19,26.28,87.56,15.91,2887.04,0
3081,88.63,189.01,53.14,30.88,119.18,17.6,2939.82,3
3082,120.88,209.28,54.63,34.45,83.19,22.1,3053.11,4
3083,101.32,213.27,52.47,31.75,86.49,21.31,2761.83,5
3084,111.04,188.7,45.67,27.39,56.53,18.54,3218.0,5
3085,73.23,214.72,56.55,31.05,117.44,15.68,2852.09,2
3086,97.62,182.83,39.31,25.49,139.46,17.32,3019.97,3
3087,98.24,198.75,45.38,26.26,84.43,19.21,2893.86,3
3088,94.42,195.24,63.41,24.57,121.24,20.28,3097.12,1
3089,101.4,196.25,58.5,35.01,74.93,18.09,3108.52,1
3090,91.34,206.1,54.94,26.38,63.46,24.06,2779.66,1
3091,112.56,217.96,52.99,29.89,110.05,11.92,2869.27,3
3092,106.59,203.27,43.53,31.83,134.83,17.45,2962.36,2
3093,88.56,189.63,51.61,30.51,63.62,19.82,2848.09,0
3094,104.85,200.98,38.3,37.1,112.48,16.98,2912.14,5
3095,103.15,204.49,42.31,28.37,132.32,17.49,2591.36,0
3096,116.11,194.42,49.92,35.52,88.0,18.98,3454.91,1
3097,110.56,193.64,45.6,30.41,62.72,20.2,3088.23,4
3098,88.82,219.65,53.12,30.88,86.14,25.58,3209.66,4
3099,92.23,193.06,48.87,23.92,134.82,23.75,3074.75,0
3100,109.94,209.14,37.97,25.98,114.39,20.08,2853.25,0
3101,86.78,217.02,55.93,32.6,85.23,17.72,3349.45,5
3102,106.0,202.21,50.32,32.39,117.02,22.7,3107.96,0
3103,93.22,206.45,42.06,25.85,90.17,18.64,2904.76,1
3104,105.09,218.53,50.21,24.73,71.87,20.38,3104.66,4
3105,105.38,182.03,46.93,32.77,117.94,19.4,3090.78,2
3106,103.75,216.98,42.84,32.31,92.6,18.72,2800.66,5
3107,92.53,210.8,50.5,26.75,50.16,19.82,3122.05,2
3108,100.34,207.22,52.97,25.88,100.42,18.55,2947.61,4
3109,112.2,180.72,47.89,29.27,75.76,18.75,3024.69,1
3110,98.15,193.0,45.3,21.86,64.88,17.36,2571.73,3
3111,104.47,203.68,51.46,29.71,111.91,20.82,2886.54,2
3112,116.49,204.1,50.34,30.97,86.24,19.63,2903.02,2
3113,119.1,207.28,52.0,28.95,90.04,20.09,3152.03,4
3114,115.55,216.57,45.77,32.12,68.16,19.64,3063.72,2
3115,101.43,187.14,59.0,28.72,117.75,20.82,2829.23,1
3116,101.03,185.3,48.78,32.18,68.77,19.11,2926.06,5
3117,98.23,206.38,53.36,32.52,115.41,20.9,2917.65,2
3118,94.88,205.34,47.7,33.02,68.28,21.24,2931.86,0
3119,98.36,186.18,53.18,30.92,78.24,18.07,2986.17,0
3120,85.89,201.59,56.74,28.19,76.04,20.2,3158.98,1
3121,105.78,200.5,44.02,34.35,125.25,22.31,2918.53,3
3122,97.15,211.15,49.1,34.11,115.21,19.81,3012.58,0
3123,111.31,200.49,41.77,33.93,112.75,21.13,2835.03,0
3124,110.5,207.29,48.1,24.5,93.03,18.98,3137.31,2
3125,113.93,215.2,50.76,23.25,84.59,21.67,2922.69,1
3126,92.23,203.21,44.59,33.43,116.23,18.36,3325.46,2
3127,97.73,200.43,46.81,30.88,93.03,18.59,2995.45,4
3128,92.7,193.35,54.07,29.34,74.32,18.68,2975.06,1
3129,84.41,206.9,58.23,28.76,140.91,20.0,3096.47,1
3130,93.3,189.5,50.02,27.71,58.18,20.46,2879.89,5
3131,92.07,193.54,50.65,35.08,126.5,20.3,3016.24,1
3132,111.31,193.37,49.44,31.29,143.99,23.7,2967.76,4
3133,72.61,217.95,42.54,31.95,109.67,17.84,2898.1,3
3134,105.1,210.12,47.29,28.59,120.1,16.19,2957.9,4
3135,97.46,194.24,51.5,30.17,104.2,18.93,2920.57,2
3136,95.42,209.55,45.25,26.67,89.92,20.88,3025.56,3
3137,96.94,205.2,48.68,32.29,142.6,19.23,2793.79,1
3138,104.66,185.56,58.27,32.85,74.24,19.18,3023.37,4
3139,99.02,204.67,38.73,25.87,137.89,19.32,3480.07,2
3140,123.78,211.59,45.55,32.53,88.98,21.0,2873.33,0
3141,101.97,217.34,54.18,29.75,131.05,20.03,2751.96,0
3142,95.29,181.53,46.51,31.65,68.46,22.41,2681.2,5
3143,94.7,210.65,48.77,29.07,141.87,24.94,3086.76,5
3144,97.84,187.57,50.25,33.02,63.55,16.38,3203.53,5
3145,115.91,203.17,46.77,27.54,133.8,18.64,2855.03,4
3146,105.43,204.07,53.27,23.27,52.72,20.76,2821.31,1
3147,113.77,183.06,53.0,26.91,59.88,19.41,2885.03,1
3148,87.36,209.94,46.87,27.11,125.63,20.89,3038.25,0
3149,95.13,198.51,55.65,32.57,129.12,22.71,2798.13,0
3150,100.7,218.99,58.03,33.15,75.7,20.5,2714.01,1
3151,97.99,211.66,51.63,29.65,53.97,21.27,3385.85,5
3152,107.03,184.6,53.29,25.43,75.03,20.66,2936.74,5
3153,110.52,188.6,48.07,28.9,115.46,18.95,2892.98,1
3154,96.34,186.2,53.0,29.08,114.04,21.89,2983.95,2
3155,71.28,199.42,39.23,24.56,112.66,17.33,3259.01,5
3156,90.77,213.07,40.87,30.6,115.06,17.52,3140.14,2
3157,87.99,202.4,46.86,31.6,95.66,19.54,2851.94,1
3158,105.83,198.3,51.1,30.6,79.26,21.05,2868.52,4
3159,120.43,190.64,45.77,28.79,80.08,17.83,3484.48,3
3160,103.43,183.86,41.4,31.11,147.37,19.07,2857.1,0
3161,118.2,185.24,48.35,33.47,141.22,19.25,2549.0,3
3162,103.38,193.43,51.52,27.24,53.08,21.6,2944.15,2
3163,111.23,189.79,45.88,30.76,131.11,17.31,2929.28,2
3164,103.24,198.23,57.15,30.14,103.16,18.01,2861.44,2
3165,107.55,203.86,46.62,25.1,83.52,15.87,2822.29,0
3166,90.73,202.07,49.44,30.15,142.86,18.09,2965.81,4
3167,96.9,181.73,42.54,28.03,131.78,21.2,3153.9,2
3168,115.08,189.14,47.03,32.01,92.45,20.72,3246.79,2
3169,109.3,186.14,46.94,24.2,122.05,21.82,3100.02,3
3170,86.45,215.25,46.09,36.17,130.45,21.15,2575.75,1
3171,110.75,203.81,49.71,27.4,128.42,17.01,3031.59,2
3172,112.32,209.57,46.51,28.58,148.94,20.01,2921.66,5
3173,97.24,210.27,56.37,34.17,102.34,18.37,3302.11,5
3174,103.34,196.44,49.88,31.08,101.51,17.16,2780.21,2
3175,94.26,187.19,53.81,28.25,139.61,19.67,3182.14,2
3176,103.08,194.88,46.77,30.17,112.62,20.41,3072.03,2
3177,101.57,191.2,44.51,27.05,65.12,21.64,2834.16,1
3178,96.15,181.21,57.13,29.98,105.73,19.86,2660.21,4
3179,99.59,183.28,44.06,31.93,102.72,20.7,3077.36,2
3180,94.57,184.29,52.96,32.62,89.81,19.21,2702.79,5
3181,106.89,183.36,54.99,30.73,83.59,17.11,2886.9,4
3182,93.56,195.04,48.0,28.1,113.17,21.38,2737.21,0
3183,103.54,219.25,36.75,35.7,96.12,21.82,2842.68,4
3184,102.81,211.68,51.36,32.82,126.51,21.18,2958.62,5
3185,92.12,180.94,54.92,35.4,92.69,19.93,3137.46,1
3186,96.01,210.86,42.3,30.95,55.04,18.37,3045.83,5
3187,103.13,211.05,51.7,31.0,143.71,18.02,3041.25,1
3188,113.74,197.56,48.59,34.91,68.69,20.6,2644.57,5
3189,93.59,189.0,49.47,28.21,129.89,19.0,3127.55,3
3190,98.76,200.19,51.42,32.2,117.37,18.46,2731.24,1
3191,98.14,192.08,46.78,33.86,103.94,18.35,2929.06,4
3192,82.47,200.57,50.72,24.23,66.05,22.34,3153.91,5
3193,98.52,193.38,45.19,29.47,117.88,18.1,3099.0,2
3194,107.52,183.99,52.46,33.0,143.7,18.31,2859.91,4
3195,107.81,207.32,41.14,28.36,71.89,14.96,2911.63,1
3196,95.2,200.66,44.51,34.45,86.5,16.5,2854.03,5
3197,105.36,181.43,55.45,33.7,124.49,19.98,2932.99,3
3198,97.51,184.69,53.23,27.71,100.3,18.55,3165.05,2
3199,103.58,184.32,52.68,34.49,110.18,19.61,2695.45,5
3200,109.36,199.61,50.77,26.24,129.41,18.6,3164.34,2
3201,93.36,203.78,37.11,25.12,126.57,19.6,3175.63,2
3202,104.8,204.16,48.94,32.64,63.57,20.13,3123.07,5
3203,83.6,203.01,48.96,24.79,92.87,19.04,3280.33,1
3204,109.75,193.58,55.3,31.12,119.47,18.73,2613.17,0
3205,84.54,180.79,54.54,29.62,84.37,18.41,3002.33,4
3206,99.36,182.98,47.55,30.39,136.43,18.78,3139.06,3
3207,98.1,182.32,61.16,27.92,65.09,19.09,2883.15,0
3208,108.62,216.98,56.77,34.05,81.13,20.25,3049.61,3
3209,117.89,207.22,51.72,29.45,145.27,19.81,3001.83,5
3210,98.12,215.02,50.49,33.46,97.43,21.41,3559.11,2
3211,100.09,205.96,49.68,25.67,84.77,20.66,3165.97,5
3212,89.41,204.62,47.74,34.02,115.52,23.22,3299.37,0
3213,105.65,182.12,54.53,32.58,140.73,20.92,2994.25,2
3214,109.98,213.72,51.1,31.14,65.79,21.97,2965.65,5
3215,111.77,211.08,60.28,31.02,142.72,17.8,3026.82,1
3216,90.04,212.61,54.26,33.21,120.62,19.89,2799.77,5
3217,91.27,191.79,46.22,29.41,138.45,19.38,2942.82,3
3218,109.05,216.59,48.09,29.37,76.94,20.54,2813.41,0
3219,109.39,210.93,61.15,27.02,108.53,23.51,3035.31,1
3220,79.5,215.16,41.55,28.08,128.71,22.47,2968.7,4
3221,91.83,209.65,54.78,29.14,82.45,18.88,2775.11,0
3222,78.05,187.34,51.65,34.82,83.18,18.41,2659.96,2
3223,98.09,184.03,43.11,30.54,93.13,22.11,2933.69,4
3224,101.42,204.1,47.78,34.98,112.58,19.05,2726.93,3
3225,103.49,181.43,43.9,29.45,106.91,20.38,2651.52,3
3226,104.52,184.17,47.94,33.54,103.1,22.52,3042.34,0
3227,106.57,219.16,54.53,28.29,94.18,20.18,3175.24,0
3228,98.99,205.13,54.24,35.53,88.17,18.51,2648.08,0
3229,84.88,204.94,52.54,29.4,109.82,22.37,2921.14,1
3230,102.14,210.61,58.08,29.76,68.85,16.59,3514.12,2
3231,107.51,210.36,45.46,28.79,123.15,23.35,2831.47,3
3232,85.88,216.67,57.3,31.04,52.9,20.88,3226.23,3
3233,90.32,212.73,48.31,31.99,72.93,21.81,3151.77,5
3234,112.01,215.79,49.58,27.06,79.92,20.9,2764.66,0
3235,116.3,188.65,50.3,23.28,83.28,22.29,2855.92,0
3236,95.35,180.48,53.07,27.05,120.53,16.28,2796.14,0
3237,86.96,186.31,50.24,26.19,78.43,16.33,2765.75,1
3238,94.02,186.19,49.17,31.95,146.25,20.33,2789.79,1
3239,91.71,203.68,46.21,27.39,95.76,15.1,3057.47,4
3240,95.43,183.25,45.94,28.43,125.92,21.92,3281.05,0
3241,108.23,203.55,55.51,28.83,114.09,20.9,3197.79,1
3242,80.78,213.96,46.34,32.77,97.4,18.74,2934.44,2
3243,79.56,188.79,53.17,30.5,144.39,18.56,2916.22,5
3244,119.43,201.15,47.49,25.73,121.38,18.46,3035.46,2
3245,91.96,205.38,56.67,37.0,97.02,17.86,3065.02,1
3246,111.84,189.38,45.85,26.88,61.96,18.62,2940.97,4
3247,81.55,217.78,57.2,32.44,118.04,18.91,2920.44,1
3248,108.59,183.32,51.95,27.71,101.3,21.72,2967.51,2
3249,85.86,185.65,49.74,26.23,114.65,23.05,2888.65,3
3250,90.13,183.17,52.04,33.07,57.25,20.7,3044.8,5
3251,86.03,185.03,49.32,28.12,121.33,21.08,3341.65,2
3252,105.45,205.72,42.95,31.23,92.52,16.04,2783.75,1
3253,89.59,204.66,55.21,31.04,143.86,18.35,2826.98,3
3254,90.02,212.72,49.47,30.35,137.26,19.85,2624.71,5
3255,106.74,194.8,44.16,22.64,127.22,17.49,3126.23,5
3256,115.68,213.8,46.46,30.83,53.13,20.21,3046.57,3
3257,104.29,201.5,49.67,30.57,81.76,18.27,3176.92,4
3258,102.61,210.67,44.31,28.9,103.51,17.05,3225.91,4
3259,107.8,197.56,40.61,31.26,104.44,21.58,3314.54,3
3260,116.68,180.14,51.9,30.26,134.94,20.57,3093.51,0
3261,97.52,213.12,50.28,32.49,78.28,19.28,2998.31,1
3262,90.22,204.17,46.24,31.6,76.37,20.17,2982.29,2
3263,118.43,216.86,48.05,35.39,71.18,21.42,3074.41,0
3264,114.15,210.8,42.14,32.95,139.46,21.97,2889.47,0
3265,87.86,186.53,48.67,33.58,128.0,19.42,3105.31,2
3266,108.13,212.04,47.11,28.26,93.75,20.03,2759.64,1
3267,104.08,193.66,48.85,30.93,97.51,17.05,2988.65,2
3268,99.29,203.16,51.23,27.54,68.8,16.69,3123.87,5
3269,88.48,213.53,51.66,28.55,122.33,20.87,3106.18,4
3270,85.89,218.63,46.29,31.96,112.7,23.85,3089.15,2
3271,94.52,209.59,59.76,33.43,103.46,17.7,2603.73,1
3272,99.28,186.65,55.52,30.65,89.95,19.6,3072.09,4
3273,116.41,205.87,43.96,32.1,90.65,19.81,2873.85,0
3274,86.01,205.02,46.9,33.9,94.84,21.45,3132.5,5
3275,110.18,216.33,45.6,28.0,117.27,21.51,2689.89,1
3276,102.13,210.01,49.05,30.9,79.26,18.39,3145.73,2
3277,108.16,185.65,47.57,33.6,104.6,20.03,3298.72,3
3278,120.23,205.37,50.67,31.58,64.64,19.6,2819.13,0
3279,95.56,184.58,37.63,30.14,74.9,17.77,3316.82,0
3280,101.38,198.1,40.57,27.71,116.66,17.19,2892.13,4
3281,83.18,204.09,45.57,33.76,133.22,21.98,2910.97,4
3282,93.3,181.81,47.3,35.03,110.18,20.95,3333.47,0
3283,115.62,211.46,47.95,29.93,116.22,24.58,3080.34,4
3284,120.25,183.82,41.76,27.91,66.24,19.34,3089.44,5
3285,101.67,201.14,49.52,31.68,81.05,19.98,2973.52,2
3286,99.48,191.27,50.25,25.83,120.36,15.67,3036.53,3
3287,104.61,208.86,42.5,28.51,57.66,16.27,3190.64,3
3288,102.97,206.55,52.19,28.4,136.38,22.55,2948.58,3
3289,122.53,187.22,47.96,28.11,100.35,21.25,2901.38,3
3290,89.9,203.01,48.1,30.53,78.01,22.19,3077.36,2
3291,83.15,190.5,47.8,32.24,82.58,21.27,2919.84,5
3292,92.55,186.15,49.0,29.19,114.35,19.29,3263.16,0
3293,86.22,217.31,49.36,31.86,53.99,22.18,2656.45,5
3294,101.14,208.11,53.1,33.49,148.79,18.97,2820.44,5
3295,100.56,182.68,48.97,27.39,92.75,21.99,3022.39,2
3296,85.07,213.07,44.89,28.04,137.22,21.08,2610.31,0
3297,99.67,181.58,47.95,32.52,143.35,22.06,3230.48,0
3298,97.06,196.34,49.2,32.34,129.01,18.84,2854.96,3
3299,102.4,216.65,45.3,32.86,111.0,19.82,3226.64,4
3300,93.59,188.89,51.67,29.81,53.79,21.39,2943.42,2
3301,95.99,207.37,48.78,35.49,76.63,21.62,2702.7,4
3302,97.12,197.29,46.52,28.62,61.01,20.4,2988.06,3
3303,113.29,198.61,46.75,27.85,85.82,16.25,2946.41,1
3304,88.65,196.52,49.86,31.81,96.23,18.19,3217.73,1
3305,94.18,217.08,60.39,29.85,95.86,20.07,2925.7,0
3306,100.65,197.32,54.35,26.98,66.92,21.67,3320.6,5
3307,99.27,182.36,42.9,29.1,82.06,22.21,3147.99,1
3308,111.56,215.5,53.16,31.16,60.55,21.41,2825.6,0
3309,96.97,210.94,48.8,27.01,148.15,17.57,3317.55,2
3310,103.46,190.92,56.23,28.88,96.74,19.51,3089.02,0
3311,100.33,213.77,49.67,29.17,110.49,17.76,2860.75,3
3312,91.46,203.95,51.69,30.45,91.49,23.44,3220.64,3
3313,96.93,181.59,46.72,29.34,100.95,19.21,3074.84,3
3314,99.71,205.32,56.31,33.82,137.04,18.34,2967.48,5
3315,92.01,184.55,49.47,30.73,117.87,19.81,3116.35,1
3316,125.96,215.07,48.48,29.8,89.56,19.2,2802.94,2
3317,102.23,219.53,34.55,24.66,85.11,22.38,2960.08,2
3318,110.46,216.81,53.92,27.97,110.75,16.63,2967.89,2
3319,116.66,210.97,40.48,36.5,147.6,22.52,3649.89,3
3320,120.04,210.37,53.74,29.29,52.02,19.08,3034.07,2
3321,81.97,212.26,48.62,23.36,65.44,20.77,2728.13,2
3322,93.59,181.0,57.85,30.96,146.84,21.23,3285.4,4
3323,85.99,192.81,58.16,24.94,55.81,18.57,3186.18,3
3324,95.09,218.68,54.38,32.16,139.87,16.69,2811.32,3
3325,96.43,193.01,58.11,24.77,89.34,18.62,2938.01,2
3326,85.28,207.46,47.54,32.59,94.03,18.76,3016.59,2
3327,111.1,213.39,48.56,26.64,134.47,20.88,2631.84,3
3328,112.75,204.12,45.92,27.1,99.11,19.58,3239.26,5
3329,92.93,204.95,48.52,31.07,139.24,22.0,3103.09,1
3330,106.81,188.48,56.42,30.34,69.93,20.74,2559.17,5
3331,108.54,211.76,55.9,24.44,67.6,24.05,3077.5,0
3332,106.62,207.78,43.45,30.51,74.99,19.64,3125.95,2
3333,86.42,208.17,47.58,26.85,50.37,21.24,3103.0,3
3334,124.45,202.7,54.15,25.08,113.1,19.03,3118.9,5
3335,120.87,200.89,51.78,30.11,95.18,19.1,2831.1,1
3336,95.11,193.26,60.07,30.76,141.99,19.17,2623.43,5
3337,95.37,212.09,45.01,31.69,144.95,20.21,3083.24,0
3338,86.69,186.12,37.58,29.33,109.1,20.9,2926.79,5
3339,106.15,195.91,55.23,30.91,117.64,19.24,3502.77,3
3340,99.97,184.89,47.11,33.13,132.28,20.75,2765.33,3
3341,104.82,197.34,57.44,29.1,142.36,18.27,2922.17,3
3342,95.79,217.44,42.06,30.75,52.64,14.76,2982.23,2
3343,87.38,195.09,58.03,29.16,62.41,18.84,2782.87,3
3344,90.39,218.48,51.64,31.36,115.23,16.66,2990.08,2
3345,93.83,194.82,51.45,33.19,109.29,19.26,2965.17,4
3346,101.49,218.08,54.26,33.13,123.69,21.15,3038.82,3
3347,97.72,212.1,46.45,29.18,111.48,16.73,2953.37,4
3348,107.79,219.69,48.59,31.56,146.41,20.3,2611.39,1
3349,106.78,189.8,49.39,30.64,120.2,16.47,2666.11,5
3350,109.34,192.59,60.18,32.72,126.68,20.9,2803.85,0
3351,102.97,186.04,50.37,31.03,78.18,20.73,2632.75,4
3352,118.56,209.55,46.31,32.07,96.39,18.93,2795.93,1
3353,121.44,215.88,44.01,33.07,65.93,21.89,2931.03,1
3354,95.09,208.76,59.82,30.31,50.86,22.11,3124.34,4
3355,89.42,204.18,47.36,25.97,123.96,19.27,2913.59,2
3356,107.67,208.48,47.21,22.19,98.07,21.37,3107.95,1
3357,105.87,192.71,49.47,34.64,55.88,17.8,2935.16,2
3358,108.03,218.36,46.63,33.75,73.81,19.29,3104.59,1
3359,95.02,201.38,62.25,25.24,132.68,16.2,2755.18,4
3360,89.76,181.36,49.13,24.1,60.15,19.98,3146.05,0
3361,98.43,209.03,52.58,31.36,132.84,15.42,3009.8,3
3362,117.37,217.69,43.03,27.22,101.61,15.99,3236.0,0
3363,97.98,182.07,52.14,25.33,130.06,18.79,2626.47,5
3364,106.96,188.14,45.5,25.94,80.89,18.35,3055.66,0
3365,94.37,181.87,50.11,31.08,50.96,21.96,3175.49,3
3366,91.2,216.27,50.34,26.1,68.33,20.36,3371.67,4
3367,91.99,211.34,50.63,34.0,124.08,24.19,3191.04,4
3368,77.48,210.18,56.22,31.71,63.05,18.34,2978.59,3
3369,93.45,199.29,39.54,33.08,62.15,21.5,3118.09,0
3370,108.83,205.92,53.18,31.1,99.65,20.27,3135.49,4
3371,100.43,217.52,54.7,26.73,123.27,17.59,3053.14,1
3372,91.54,198.46,50.9,26.96,147.25,21.26,2798.8,4
3373,99.46,187.78,44.19,31.87,76.39,19.29,2898.15,0
3374,102.6,182.03,47.0,34.65,117.27,18.0,2984.17,3
3375,108.32,186.74,53.06,27.99,50.65,19.29,3083.03,5
3376,92.69,194.08,46.86,27.25,89.01,18.8,2811.12,5
3377,99.92,186.7,43.59,32.98,138.73,21.34,3298.82,5
3378,103.33,219.33,53.18,27.33,58.81,21.1,2978.3,0
3379,110.53,203.88,48.18,33.63,55.68,18.94,2925.7,0
3380,87.49,213.11,49.28,29.12,94.25,21.96,3015.72,5
3381,96.94,213.23,53.67,29.5,99.44,21.31,3246.41,3
3382,82.01,215.85,49.84,28.99,55.76,18.41,3181.28,5
3383,91.6,181.82,51.69,33.11,124.29,21.15,3094.12,5
3384,103.37,206.36,45.0,28.69,71.23,18.59,2996.39,1
3385,117.09,208.85,51.94,30.13,87.02,22.03,3206.47,2
3386,97.62,218.31,52.29,28.1,110.31,19.01,2911.75,2
3387,95.98,201.37,49.1,32.86,135.53,24.55,3014.21,4
3388,90.01,205.34,58.19,33.04,110.86,19.17,3107.27,0
3389,86.33,212.37,35.16,34.89,138.28,19.91,2861.06,1
3390,91.38,184.48,46.26,35.54,53.2,21.85,3080.13,0
3391,106.21,195.42,46.58,26.13,51.64,19.26,3089.22,5
3392,79.04,207.46,46.31,30.34,68.39,21.09,2840.96,5
3393,97.94,185.47,51.29,33.01,115.67,18.71,3036.92,4
3394,93.17,215.92,47.38,29.08,124.9,17.93,2895.16,4
3395,89.54,205.54,49.73,32.38,70.76,18.74,2775.27,5
3396,102.38,189.51,49.91,26.19,64.78,22.96,3071.68,1
3397,92.08,195.22,55.88,29.71,81.34,22.42,3194.84,0
3398,89.12,206.71,47.62,25.65,91.07,21.32,2894.04,3
3399,94.16,181.83,53.93,30.05,130.78,20.44,2912.61,4
3400,84.56,183.09,53.24,29.42,110.33,23.54,3241.36,5
3401,83.55,209.2,45.72,32.02,128.29,18.24,3044.17,0
3402,92.03,193.21,44.85,33.12,66.3,19.37,2591.72,3
3403,88.55,187.55,49.69,28.47,123.57,19.5,2582.65,2
3404,108.91,191.09,47.07,28.44,88.82,20.97,3025.67,5
3405,99.18,185.27,49.24,30.03,112.28,16.66,2821.92,4
3406,88.36,187.24,51.57,31.0,139.73,17.49,3109.95,5
3407,98.94,201.61,49.6,27.53,93.92,20.95,3043.13,4
3408,107.01,187.68,50.32,32.05,94.69,19.31,3209.46,5
3409,105.76,191.91,48.96,32.84,111.2,18.91,3163.85,5
3410,117.15,182.91,53.98,30.59,95.79,19.82,3091.79,2
3411,91.97,184.34,38.19,34.21,146.71,18.83,2941.77,0
3412,112.83,194.68,52.36,34.32,52.15,24.47,2866.17,5
3413,96.31,199.1,41.48,30.84,86.46,21.51,2764.36,3
3414,100.76,180.08,55.84,29.52,105.64,22.28,3153.58,1
3415,91.42,180.71,56.93,31.27,119.09,21.14,2925.37,5
3416,89.62,180.95,47.8,29.29,133.94,16.95,3207.7,5
3417,118.17,210.67,52.97,30.27,69.99,21.16,2984.35,5
3418,118.91,201.02,52.87,29.1,147.17,21.82,2827.37,1
3419,102.96,207.48,47.97,27.34,76.54,20.55,2848.4,5
3420,108.34,207.17,56.26,29.62,127.88,20.07,3156.25,2
3421,102.15,209.66,45.12,33.34,71.18,19.93,2648.05,1
3422,115.82,186.96,45.42,26.23,105.57,21.5,3092.37,5
3423,82.19,218.73,46.18,28.71,72.13,18.67,2793.42,5
3424,116.3,205.17,47.78,31.51,126.11,19.11,3273.25,4
3425,83.2,213.26,51.47,30.84,74.24,19.63,2687.46,0
3426,115.99,187.71,48.69,26.81,87.0,19.77,3078.49,3
3427,121.4,211.66,48.64,27.24,131.69,21.53,3058.82,1
3428,87.47,216.71,44.97,31.18,94.33,18.4,2878.01,2
3429,92.91,185.27,48.13,33.48,107.74,21.35,2977.58,4
3430,99.88,206.96,49.98,27.09,60.61,20.06,3168.45,0
3431,108.35,193.79,49.54,31.8,110.53,18.68,2903.6,2
3432,78.31,190.48,42.81,27.96,127.13,18.71,2908.35,3
3433,98.43,185.59,48.94,30.47,101.71,17.6,3248.9,2
3434,106.66,209.08,53.53,34.31,141.75,20.59,3027.24,4
3435,107.86,202.82,59.07,26.79,51.1,23.81,3227.08,4
3436,106.5,205.9,50.37,29.81,117.57,17.57,2779.62,3
3437,95.47,183.11,57.85,24.71,83.14,22.6,3041.64,0
